category;name;rus;eng
char_name;lan_yan;Лань Янь;Lan Yan
talent_name;lan_yan_black_pheasant_strides_on_water;Чёрный фазан на водной глади;Black Pheasant Strides on Water
talent_descr;lan_yan_black_pheasant_strides_on_water;<p>name{Обычная атака:}<br>Размахивает Кольцами лунного пера и выполняет до четырёх ударов, которые наносят anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Потратив определённое количество выносливости, выбрасывает name{Кольцо лунного пера} и наносит anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Накопив силу Анемо, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Wields her name{Feathermoon Rings} to perform up to 4 attacks, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to throw out a name{Feathermoon Ring}, dealing anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Gathers the power of Anemo and plunges towards the ground from mid-air, damaging all opponents in her path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
feature_skill;lan_yan_feathermoon_ring_dmg;Урон Кольца лунного пера;Feathermoon Ring DMG
talent_name;lan_yan_swallow_wisp_pinion_dance;Порхающий танец ласточкиных перьев;Swallow-Wisp Pinion Dance
talent_descr;lan_yan_swallow_wisp_pinion_dance;<p>Призывает name{Щит порхающей ласточки}, передаваемое из поколения в поколение искусство, и стремительно бросается вперёд, при соприкосновении с целью отпрыгивая назад в воздух.<br>Поглощение урона Щитом порхающей ласточки зависит от name{силы атаки} name{Лань Янь}. Он поглощает anemo{Анемо урон} с 250% эффективностью.<br>Когда name{Лань Янь} из-за эффекта name{элементального навыка} находится в воздухе, быстрое нажатие name{элементального навыка} или name{обычной атаки} выпустит во врагов её name{Кольца лунного пера}, которые после попадания дважды прокружатся между врагами поблизости, нанося anemo{Анемо урон}.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление рывка.</p><p><i>«Облака вырезают лунный свет, серебристыми тенями услаждая взор».</i></p>;"<p>Summoning forth the name{Swallow-Wisp Shield}, a secret art passed down across generations, name{Lan Yan} dashes forward and, upon making contact with her target, will leap back into the air.<br>The name{Swallow-Wisp Shield}'s DMG absorption scales based on her name{ATK}, and has a 250% absorption efficiency against anemo{Anemo DMG}.<br>While in mid-air due to the effects of her name{Elemental Skill}: name{Swallow-Wisp Pinion Dance}, pressing her name{Elemental Skill} again or pressing name{Normal Attack} will cause name{Lan Yan} to hurl her name{Feathermoon Rings} at an opponent, and they will spin between nearby opponents twice upon hit, dealing anemo{Anemo DMG}.<br>Holding the Skill will cause it to behave differently.</p><p>name{Hold}<br>Enter Aiming Mode to adjust the dash direction.</p><p><i>""The clouds cut the lunar light, like shadows silver gracing one's sight.""</i></p>"
talent_name;lan_yan_lustrous_moonrise;Лучезарный восход луны;Lustrous Moonrise
talent_descr;lan_yan_lustrous_moonrise;<p>name{Лань Янь} создаёт Стаю лунных ласточек, которая притягивает противников и предметы поблизости, а также несколько раз наносит anemo{Анемо урон по площади}.</p><p><i>Строго говоря, одна name{Лань Янь} не может называться «стаей». Однако если к ней добавить ротанговые фигурки, которые она носит с собой, условие можно считать выполненным... пожалуй?</i></p>;"<p>name{Lan Yan} creates a Feathermoon Swallow Array, pulling in nearby opponents and objects and dealing multiple instances of anemo{AoE Anemo DMG}.</p><p><i>Strictly speaking, with only name{Lan Yan} herself present, it cannot properly be called an ""array."" However, if her Rattan Figures are brought into the picture, she can sort of fulfill the requirements... Probably.</i></p>"
talent_name;lan_yan_four_sealing_divination_charms;Четыре запечатывающих прорицание амулета;Four Sealing Divination Charms
talent_descr;lan_yan_four_sealing_divination_charms;Если рывок name{элементального навыка} skill{skill:Порхающий танец ласточкиных перьев}, попадая по цели, взаимодействует с hydro{Гидро}/pyro{Пиро}/cryo{Крио}/electro{Электро}, то name{Щит порхающей ласточки} изменяет свой элемент, после чего поглощает соответствующий элемент с эффективностью 250%.<br>Кроме того, если во время этого использования skill{skill:Порхающего танца ласточкиных перьев} name{Щит порхающей ласточки} сменил свой элемент, то name{Кольца лунного пера}, которые name{Лань Янь} бросает во врагов, наносят дополнительный урон соответствующим элементом, равный %{text_percent_dmg} от их исходного урона. Этот урон считается уроном name{элементального навыка}.;When the dash from the name{Elemental Skill} skill{skill:Swallow-Wisp Pinion Dance} hits a target, if it interacts with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, the name{Swallow-Wisp Shield} will undergo Elemental Absorption, with the converted shield absorbing DMG from the corresponding element with 250% efficiency.<br>Additionally, if this use of skill{skill:Swallow-Wisp Pinion Dance} causes the name{Swallow-Wisp Shield} to undergo Elemental Absorption, the name{Feathermoon Rings} that name{Lan Yan} throws at her foes additionally deal name{Elemental DMG} equal to %{text_percent_dmg} of the original in the corresponding Elemental Type. This DMG is considered name{Elemental Skill DMG}.
