category;name;rus;eng
char_name;charlotte;Шарлотта;Charlotte
talent_name;charlotte_comprehensive_confirmation;Стоп-кадр: Всестороннее подтверждение;Still Photo: Comprehensive Confirmation
talent_descr;charlotte_comprehensive_confirmation;<p>Шарлотта создаёт вывеску «Паровой птицы», концентрируя лёд, и создаёт Место происшествия, которое наносит cryo{Крио урон по площади} и восстанавливает HP всем членам отряда поблизости пропорционально силе атаки Шарлотты.</p><p>name{Место происшествия}<br>·Во время действия способности Господин Верите периодически наносит cryo{Крио урон} противникам в зоне действия.<br>·Постоянно восстанавливает HP активным персонажам в зоне действия пропорционально силе атаки Шарлотты.</p><p><i>«Слушать историю с разных сторон, чтобы воссоздать истинную картину происходящего - ключ к хорошему репортажу... Так и находится хороший подход к статье!»</i></p>;"<p>Condensing ice to create The Steambird's signature, Charlotte creates a Newsflash Field that will deal cryo{AoE Cryo DMG} and restores HP for all nearby party members based on Charlotte's ATK.<br>name{Newsflash Field}<br>·While the ability is active, Monsieur Verite will deal cryo{Cryo DMG} at intervals to opponents within its AoE.<br>·Will continuously restore HP to active character(s) within its AoE based on Charlotte's ATK.</p><p><i>""Hearing stories from multiple perspectives to recreate what really happened is key to a good report... I mean, that's how you can pick the best angle for your article!""</i></p>"
talent_name;charlotte_cool_color_capture;Съёмка в холодных тонах;Cool-Color Capture
talent_descr;charlotte_cool_color_capture;<p>name{Обычная атака:}<br>Шарлотта наводит на цель свою особую камеру - Господина Верите, и производит до 3 атак, которые наносят cryo{Крио урон}.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости, и после недолгой подготовки размещает Господина Верите, который наносит cryo{Крио урон по площади}.</p><p>name{Атака в падении:}<br>Собирает силу Крио и стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит cryo{Крио урон по площади}.</p><p>name{Архэ: Пневма}<br>После заряженной атаки, с некоторым интервалом, появляется пронзающая врагов Игла дыхания душ, которая наносит cryo{Крио урон} пневмы по площади.</p>;<p>name{Normal Attack}<br>Taking aim at targets using Monsieur Verite, her custom Kamera, Charlotte performs up to 3 consecutive attacks, dealing cryo{Cryo DMG}.</p><p>name{Charged Attack}<br>Consumes a fixed amount of Stamina, and after a moment's preparation, will deploy Monsieur Verite to deal cryo{AoE Cryo DMG}.</p><p>name{Plunging Attack}<br>Gathering the power of Cryo, Charlotte plunges toward the ground, dealing DMG to all opponents in her path and dealing cryo{AoE Cryo DMG} upon landing.</p><p>name{Arkhe: Pneuma}<br>At certain intervals, upon using a Charged Attack, Charlotte will cause a Spiritbreath Thorn to descend and pierce opponents, dealing Pneuma-aligned cryo{AoE Cryo DMG}.</p>
talent_name;charlotte_freezing_point_composition;Съёмка: Композиция точки замерзания;Framing: Freezing Point Composition
talent_descr;charlotte_freezing_point_composition;<p>Полагаясь на острое чутьё первоклассного репортёра, Шарлотта использует своё умение фотографии, чтобы добиться разных эффектов в зависимости от того, было ли совершено быстрое или долгое нажатие навыка.</p><p>name{Быстрое нажатие:}<br>Делает фотографию с помощью Господина Верите, нанося cryo{Крио урон по площади} врагам перед собой, и накладывает Скоростной силуэт на макс. 5 врагов. Во время действия этого эффекта, он периодически наносит противникам cryo{Крио урон}.</p><p>name{Долгое нажатие:}<br>Открывает видоискатель Господина Верите и переходит в режим композиции, в котором по мере удержания кнопки видоискатель увеличивается, пока не будет достигнуто состояние Великого кадра. В этом состоянии Шарлотта может свободно перемещаться и менять направление движения.<br>Когда удерживание прекращается, Господин Верите наносит cryo{Крио урон} всем противникам, которые захвачены видоискателем, и накладывает на них тот же эффект Скоростного силуэта, что и быстрое нажатие. Если вы отпустите кнопку после достижения Великого кадра, то вместо этого накладывается Сфокусированное впечатление, которое длится дольше и наносит больше урона, но также увеличивает время отката.<br>Режим композиции длится макс. 15 сек., и в нём можно выделить до 5 противников.</p><p><i>«Фотожурналистика требует простых кадров с сильной темой, но самое главное - умение запечатлеть момент!»</i></p>;"<p>Using the keen instincts of an ace reporter, Charlotte uses her photography skills to produce different effects based on whether the ability is Tapped or Held.</p><p>name{Tap}<br>Takes a snapshot using Monsieur Verite, dealing cryo{AoE Cryo DMG} to opponents in front of her and applying Snappy Silhouette to a maximum of 5 opponents. During this effect's duration, it will deal cryo{Cryo DMG} to affected opponents at intervals.</p><p>name{Hold}<br>Popping Monsieur Verite's viewfinder open, Charlotte enters Composition Mode, and during this time, the viewfinder will expand as you hold until you reach a Finisher Frame state. In this state, Charlotte can move and change direction freely.<br>When the hold state ends, Monsieur Verite will deal cryo{Cryo DMG} to all opponents locked on within the viewfinder, and apply the same Snappy Silhouette as Tap Mode does to them. If you unleash this ability only after reaching Finisher Frame, you will instead apply Focused Impression, which lasts longer and deals more DMG, although the Skill CD will be longer.<br>Composition Mode lasts a maximum of 15s and allows a maximum of 5 opponents to be selected.</p><p><i>""Press photography requires simple shots with exceptional theming, but most of all, you need to have a knack for capturing the moment!""</i></p>"
talent_name;charlotte_moment_of_impact;Момент удара;Moment of Impact
talent_descr;charlotte_moment_of_impact;Когда противник, отмеченный name{Сфокусированным впечатлением}, повержен, откат skill{skill:Съёмки: Композиция точки замерзания} уменьшается на 2 сек. Откат name{элементального навыка} этим способом можно снизить не более 4 раз в 12 сек.;"When opponents marked by ""name{Focused Impression}"" are defeated, skill{skill:Framing: Freezing Point Composition}'s CD will be decreased by 2s. This CD decrease can be triggered 4 times every 12s."
talent_name;charlotte_diversified_investigation;Многостороннее исследование;Diversified Investigation
