category;name;rus;eng
char_name;diluc;Дилюк;Diluc
talent_name;diluc_tempered_sword;Закалённый меч;Tempered Sword
talent_descr;diluc_tempered_sword;<p>name{Обычная атака:}<br>До четырёх рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Комбо-атака, на которую непрерывно тратится выносливость.<br>После комбо-атаки проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous slashes.<br>At the end of the sequence, performs a more powerful slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;diluc_searing_onslaught;Огненный натиск;Searing Onslaught
talent_descr;diluc_searing_onslaught;<p>Совершает рубящий удар мечом, наносящий pyro{Пиро урон} врагам впереди.</p><p>Этот навык можно активировать 3 раза подряд.<br>Если не активировать его слишком долго, навык уходит в откат.</p><p><i>Меч name{Дилюка} - это символ справедливости, храбрости и чувства долга.</i></p>;<p>Performs a forward slash that deals pyro{Pyro DMG}.</p><p>This skill can be consecutively used 3 times.<br>Enters CD if not cast again within a short period.</p><p><i>The slashes represent the values that name{Diluc} holds dear: one for justice, one for courage, and one for duty.</i></p>
feature_burst;diluc_burst_slash;Рубящий урон;Slashing DMG
feature_burst;diluc_burst_dot;Периодический урон;DoT
feature_burst;diluc_burst_explosion;Урон от взрыва;Explosion DMG
feature_burst;diluc_infusion_duration;Длительность инфузии;Infusion Duration
talent_name;diluc_dawn;Рассвет;Dawn
talent_descr;diluc_dawn_1;<p>Окружая себя языками пламени, name{Дилюк} отбрасывает окружающих врагов и наносит им pyro{Пиро урон}. Затем, собравшись на оружии, его пламя превращается в стремящегося вперёд феникса, который наносит большой pyro{Пиро урон} всем врагам на своём пути. В конце своего пути феникс взрывается, нанося огромный pyro{Пиро урон по площади}.<br>Собравшееся пламя наделяет оружие name{Дилюка} pyro{инфузией Пиро}.</p><p><i>Мы погружаемся во тьму лишь для того, чтобы озарить её ярким светом. Узри же предрассветный столп искр, вспыхнувший на излёте ночи.</i></p>;<p>Releases intense flames to knock back nearby opponents, dealing pyro{Pyro DMG}. The flames then converge into the weapon, summoning a Phoenix that flies forward and deals massive pyro{Pyro DMG} to all opponents in its path. The Phoenix explodes upon reaching its destination, causing a large amount of pyro{AoE Pyro DMG}.<br>The searing flames that run down his blade cause it to be infused with pyro{Pyro}.</p><p><i>The only reason to walk in the darkness is to light it up. Behold, that fleeing light in the dead of night is the herald of the coming dawn.</i></p>
talent_descr;diluc_dawn_2;Собравшееся пламя наделяет оружие name{Дилюка} pyro{инфузией Пиро}.;The searing flames that run down his blade cause it to be infused with pyro{Pyro}.
talent_name;diluc_relentless;Беспощадность;Relentless
talent_descr;diluc_relentless;Уменьшает стоимость name{заряженной атаки} name{Дилюка} на %{stamina_consume_charged}, а длительность увеличена на 3 сек.;name{Diluc}'s name{Charged Attack} Stamina Cost is decreased by %{stamina_consume_charged}, and its duration is increased by 3s.
talent_name;diluc_blessing_of_phoenix;Благословение феникса;Blessing of Phoenix
talent_descr;diluc_blessing_of_phoenix;Увеличивает длительность инфузии pyro{Пиро} навыка skill{burst:Рассвет} на 4 сек. В течение действия этого эффекта name{Дилюк} также получает %{dmg_pyro} бонус pyro{Пиро урона}.;The pyro{Pyro} Infusion provided by skill{burst:Dawn} lasts for 4s longer. Additionally, name{Diluc} gains %{dmg_pyro} pyro{Pyro DMG Bonus} during the duration of this effect.
talent_name;diluc_conviction;Раскалённая месть;Conviction
talent_descr;diluc_conviction;Увеличивает урон name{Дилюка} против врагов с name{HP} выше 50% на %{dmg_all}.;name{Diluc} deals %{dmg_all} more DMG to opponents whose name{HP} is above 50%.
talent_name;diluc_searing_ember;Тлеющий уголёк;Searing Ember
talent_descr;diluc_searing_ember;Когда name{Дилюк} получает урон, его name{сила атаки} увеличивается на %{atk_percent}, а name{скорость атаки} - на %{atk_speed_normal}. Длится 10 сек.<br>Может складываться до 3 раз и возникнуть раз в 1,5 сек.;When name{Diluc} takes DMG, his name{ATK} increases by %{atk_percent} and his name{ATK SPD} increases by %{atk_speed_normal}. Lasts for 10s.<br>This effect can stack up to 3 times and can only occur once every 1.5s.
talent_name;diluc_fire_and_steel;Стальное пламя;Fire and Steel
talent_name;diluc_flowing_flame;Палящая комета;Flowing Flame
talent_descr;diluc_flowing_flame;Ритмичная активация навыка skill{skill:Огненный натиск} увеличивает наносимый им урон.<br>Активация навыка skill{skill:Огненный натиск} через 2 сек. после предыдущего удара увеличивает урон следующего удара на %{dmg_skill_diluc_bonus} в течение 2 сек.;Casting skill{skill:Searing Onslaught} in rhythm greatly increases damage dealt.<br>2s after casting skill{skill:Searing Onslaught}, casting the next name{Searing Onslaught} in the combo deals %{dmg_skill_diluc_bonus} additional DMG. This effect lasts for 2s.
talent_name;diluc_phoenix_harbinger_of_dawn;Феникс, предвестник зари;Phoenix, Harbinger of Dawn
talent_name;diluc_flaming_sword_nemesis_of_the_dark;Клинок, освещающий тьму;Flaming Sword, Nemesis of the Dark
talent_descr;diluc_flaming_sword_nemesis_of_the_dark;После активации навыка skill{skill:Огненный натиск} в течение 6 сек. увеличивает скорость и наносимый урон двух следующих name{обычных атак} на %{atk_speed_normal}.<br>Также навык name{Огненный натиск} больше не прерывает серию name{обычных атак}.;After casting skill{skill:Searing Onslaught}, the next 2 name{Normal Attacks} within the next 6s will have their DMG and name{ATK SPD} increased by %{atk_speed_normal}.<br>Additionally, name{Searing Onslaught} will not interrupt the name{Normal Attack} combo.
