category;name;rus;eng
char_name;durin;Дурин;Durin
talent_name;durin_radiant_wingslash;Пламенный удар крыльев;Radiant Wingslash
talent_descr;durin_radiant_wingslash;<p>name{Обычная атака:}<br>До четырёх последовательных ударов мечом.</p><p>name{Заряженная атака:}<br>Однократный рубящий удар перед собой, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive sword strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform a slash toward the front.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;durin_confirmation_of_purity_dmg;Урон Трансмутации: Утверждение чистоты;Transmutation: Confirmation of Purity DMG
feature_skill;durin_denial_of_darkness_dmg;Урон Трансмутации: Отрицание тьмы;Transmutation: Denial of Darkness DMG
feature_skill;durin_energy_regeneration;Восстановление энергии;Energy Regeneration
talent_name;durin_convergence_and_division_1;Дуализм: Слияние и разделение;Binary Form: Convergence and Division
talent_name;durin_convergence_and_division_2;name{Трансмутация: Отрицание тьмы};name{Transmutation: Denial of Darkness}
talent_descr;durin_convergence_and_division;<p>Очищает материю души и надежд, выполняя skill{n11230001:Трансмутацию сущности}. В это время name{элементальный навык} name{Дурина} name{Дуализм: Слияние и разделение} заменяется на особый name{элементальный навык} name{Трансмутация: Утверждение чистоты}, а name{обычная атака} name{Пламенный удар крыльев} заменяется на особый name{элементальный навык} name{Трансмутация: Отрицание тьмы}.</p><p>name{Трансмутация: Утверждение чистоты}<br>Наносит однократный pyro{Пиро урон по площади} противникам поблизости, снимает состояние Трансмутации сущности и на 30 сек. входит в состояние name{Утверждения чистоты}.</p><p>name{Трансмутация: Отрицание тьмы}<br>Наносит три последовательных удара с pyro{Пиро уроном} противникам впереди, снимает состояние Трансмутации сущности и на 30 сек. входит в состояние name{Отрицания тьмы}.</p><p>Когда name{Дурин}, находясь в бою, входит в состояния name{Утверждения чистоты} или name{Отрицания тьмы}, он также восстанавливает себе определённое количество энергии. Энергия может быть восстановлена таким способом один раз в 6 сек.</p><p><i>Любовь и гнев вечно существуют друг в друге, пребывают во всех живых созданиях. Сердца являющих их зверей отвечают на зов всего мира, порождая два средоточия.</i></p>;<p>Purify the substance of souls and wishes to undergo skill{n11230001:Essential Transmutation}. While transmuted, name{Durin}'s name{Elemental Skill} name{Binary Form: Convergence and Division} will be replaced with the special name{Elemental Skill} name{Transmutation: Confirmation of Purity}, and the name{Normal Attack} name{Radiant Wingslash} will be replaced with the special name{Elemental Skill} name{Transmutation: Denial of Darkness}.</p><p>name{Transmutation: Confirmation of Purity}<br>Deal 1 instance of pyro{AoE Pyro DMG} to nearby opponents, reverse Essential Transmutation, and enter the name{Confirmation of Purity} state for 30s.</p><p>name{Transmutation: Denial of Darkness}<br>Deal 3 consecutive instances of pyro{Pyro DMG} to opponents in front, reverse Essential Transmutation, and enter the name{Denial of Darkness} state for 30s.</p><p>When name{Durin} enters the name{Confirmation of Purity} or name{Denial of Darkness} state while in battle, he will restore a certain amount of name{Elemental Energy}. name{Elemental Energy} can be restored this way once every 6s.</p><p><i>Love and rage exist within each other in near-eternal accord, dwelling inside all living things. The hearts of the creatures they manifest answer the call of the entire world, birthing two cores.</i></p>
feature_burst;durin_as_the_light_shifts_dmg;Урон Принципа чистоты: Когда меняется свет;Principle of Purity: As the Light Shifts DMG
feature_burst;durin_as_the_stars_smolder_dmg;Урон Принципа тьмы: Когда тлеют звёзды;Principle of Darkness: As the Stars Smolder DMG
feature_burst;durin_dragon_of_white_flame_dmg;Урон Дракона белого пламени;Dragon of White Flame DMG
feature_burst;durin_dragon_of_dark_decay_dmg;Урон Дракона чёрного разложения;Dragon of Dark Decay DMG
feature_burst;durin_dragon_of_white_flame_duration;Длительность Дракона белого пламени;Dragon of White Flame Duration
feature_burst;durin_dragon_of_dark_decay_duration;Длительность Дракона чёрного разложения;Dragon of Dark Decay Duration
talent_name;durin_as_the_light_shifts;Принцип чистоты: Когда меняется свет;Principle of Purity: As the Light Shifts
