category;name;rus;eng
char_name;arlecchino;Арлекино;Arlecchino
talent_name;arlecchino_balemoon_rising;Восхождение роковой луны;Balemoon Rising
talent_descr;arlecchino_balemoon_rising;<p>name{Арлекино} взмахивает великими крыльями Пламени роковой луны, поглощает и снимает Веления кровавого долга поблизости, нанося pyro{Пиро урон по площади}, после чего сбрасывает откат name{элементального навыка} name{Всё превращается в прах} и восстанавливает name{HP} пропорционально значению собственного name{Долга жизни} и name{силы атаки}.</p><p><i>Все фазы луны, за исключением полнолуния, в Тейвате считаются дурными предзнаменованиями, которые используют лишь алхимики и астрологи.<br>Сколько раз являлась багровая луна ей во снах... Сулила ли она бедствия? Да, но выпадали они на долю тех, кто приводил её в ярость.</i></p>;<p>name{Arlecchino}'s great wing of name{Balemoon Bloodfire} beats as she absorbs and clears name{Blood-Debt Directives} around her. She deals pyro{AoE Pyro DMG} before clearing the CD of name{All Is Ash} and healing herself. The healing is based on her name{Bond of Life} value and name{ATK}.</p><p><i>It is commonly believed throughout Teyvat that moon phases other than the full moon are mere metaphors of ill-omen, used only by those who practice alchemy and astrology.<br>She saw this crimson moon in her dreams many times. Were those portents of disaster? Indeed they were, but the destined catastrophes belonged to those who enraged her.</i></p>
talent_name;arlecchino_invitation_to_a_beheading;Приглашение на казнь;Invitation to a Beheading
talent_descr;arlecchino_invitation_to_a_beheading;<p>name{Обычная атака:}<br>До шести ударов копьём подряд.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости, совершает рывок к врагу поблизости и наносит удар.<br>При продолжительном нажатии name{Арлекино} продолжает потреблять выносливость на стремительное перемещение, которое длится до 5 сек.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p><p>name{Маска Красной Смерти}<br>Когда name{Арлекино} обладает name{Долгом жизни}, который равен или превышает 30% от её name{макс. HP}, она входит в состояние name{Маски Красной Смерти}: урон её name{обычных атак}, name{заряженных атак} и name{атак в падении} конвертируется в pyro{Пиро урон}. Этот эффект не может быть отменён какой-либо элементальной инфузией.<br>Когда name{Арлекино} пребывает в состоянии name{Маски Красной Смерти}, удары её name{обычной атаки} при попадании наносят противнику дополнительный урон, пропорциональный name{силе атаки} name{Арлекино}, умноженной на процентное значение текущего name{Долга жизни}, и потребляет 7,5% данного name{Долга жизни}. name{Долг жизни} таким образом может потребляться не чаще одного раза каждые 0,03 сек. Потребление name{Долга жизни} таким способом сокращает откат name{элементального навыка} name{Всё превращается в прах} на 0,8 сек.</p>;"<p>name{Normal Attack}<br>Performs up to 6 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a fixed amount of Stamina, dashing toward a nearby opponent and cleaving once.<br>Continuously holding this button will cause name{Arlecchino} to consume Stamina and engage in up to 5s of high-speed movement.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p><p>name{Masque of the Red Death}<br>When name{Arlecchino} has a name{Bond of Life} equal to or greater than 30% of her name{Max HP}, she will enter the ""name{Masque of the Red Death}"" state, where her name{Normal}, name{Charged}, and name{Plunging Attacks} will be converted to deal pyro{Pyro DMG}. This cannot be overridden.<br>When in the ""name{Masque of the Red Death}"" state, name{Arlecchino}'s name{Normal Attacks} will deal extra DMG to opponents on hit that scales off her name{ATK} multiplied by a certain ratio of her current name{Bond of Life} percentage. This will consume 7.5% of said current name{Bond of Life}. Her name{Bond of Life} can be consumed this way every 0.03s. When her name{Bond of Life} is consumed in this manner, name{All Is Ash}'s CD will decrease by 0.8s.</p>"
talent_name;arlecchino_all_is_ash;Всё превращается в прах;All Is Ash
talent_descr;arlecchino_all_is_ash;<p>Призывает name{Пламя роковой луны}, нанося нескольким противникам поблизости pyro{Пиро урон}, и против одного из них выполняет выпад, который наносит pyro{Пиро урон по площади}. На поражённых такой атакой врагов накладывается name{Веление кровавого долга}.</p><p>name{Веление кровавого долга}<br>· Длится 30 сек. Каждые 5 сек. наносит врагу однократный pyro{Пиро урон}. Такой урон наносится до 2 раз и считается уроном name{элементального навыка}.<br>· Применяя name{заряженную атаку} или name{взрыв стихии} Восхождения роковой луны, name{Арлекино} поглощает и снимает Веления кровавого долга поблизости. Каждое поглощённое name{Веление кровавого долга} наделяет её name{Долгом жизни}, равным 65% от её name{макс. HP}.<br>· В течение 35 сек. после активации name{элементального навыка} name{Арлекино} с помощью Веления кровавого долга может получить name{Долг жизни}, не превышающий 145% от её name{макс. HP}. Если в это время применить name{элементальный навык} повторно, расчёт длительности и максимума значения name{Долга жизни} от Веления кровавого долга начнётся сначала.</p><p><i>В её понимании, одинокое пшеничное зерно, упавшее в землю, не всегда прорастает колосом и может беззвучно сгнить. А если всех тех, кто встанет у неё на пути, сжечь дотла, оставшийся от них пепел станет пищей цветам.</i></p>;<p>Summons forth name{Balemoon Bloodfire}, dealing pyro{Pyro DMG} to multiple nearby opponents and performing a dash-cleave against one of them, dealing pyro{AoE Pyro DMG}.<br>Opponents hit by the aforementioned attack will have a name{Blood-Debt Directive} applied to them.</p><p>name{Blood-Debt Directive}<br>·Lasts 30s. Every 5s, it will deal 1 instance of pyro{Pyro DMG} to the opponent. Max 2 instances. This DMG will be considered name{Elemental Skill DMG}.<br>·When name{Arlecchino} uses a name{Charged Attack} or her name{Elemental Burst}, Balemoon Rising, she will absorb and clear nearby name{Blood-Debt Directives}. Each name{Directive} absorbed grants her a name{Bond of Life} worth 65% of her name{Max HP}.<br>·The maximum value of the name{Bond of Life} she can be granted through name{Blood-Debt Directives} within 35s after using her name{Elemental Skill} is 145% of her name{Max HP}. Using the name{Elemental Skill} again during this duration will restart the count on duration and the limit on the value of name{Bond of Life} she may gain from name{Blood-Debt Directives}.</p><p><i>As she sees it, not every grain of wheat that falls upon the earth will grow into an ear, while those who obstruct her, once burned to ashes, can certainly be used to nourish flowers.</i></p>
talent_name;arlecchino_agony_alone_may_be_repaid;Лишь страдания искупят;Agony Alone May Be Repaid
talent_descr;arlecchino_agony_alone_may_be_repaid;skill{skill:Веление кровавого долга} обладает следующими характеристиками:<br>· Победа над врагом с наложенным самой name{Арлекино} name{Велением кровавого долга} даёт ей name{Долг жизни}, равный %{text_percent} от её name{макс. HP}.<br>· Через 5 сек. после наложения он повышается до name{Кровавого долга: Взыскание}, который при поглощении наделяет name{Арлекино} name{Долгом жизни} в размере %{text_percent}.<br>Количество name{Долга жизни}, получаемого этими способами, не может превышать исходного лимита name{Долга жизни} навыка skill{skill:Всё превращается в прах}.;skill{skill:Blood-Debt Directives} have the following characteristics:<br>·name{Arlecchino} will be granted a name{Bond of Life} worth %{text_percent} of her name{Max HP} when an opponent to which she herself applied a name{Directive} is defeated.<br>·5s after a name{Directive} is applied, it will be upgraded to a name{Blood-Debt Due}. When absorbed, it will instead grant name{Arlecchino} a name{Bond of Life} worth %{text_percent}.<br>A name{Bond of Life} created in the aforementioned ways cannot exceed the original limit on the value of name{Bonds of Life} obtained through skill{skill:All Is Ash}.
talent_name;arlecchino_strength_alone_can_defend;Лишь сила защитит;Strength Alone Can Defend
