category;name;rus;eng
char_name;aino;Айно;Aino
talent_name;aino_bish_bash_bosh_repair;Починка методом «бах-бум-бац»;Bish-Bash-Bosh Repair
talent_descr;aino_bish_bash_bosh_repair;<p>name{Обычная атака:}<br>До трёх последовательных ударов.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную рубящую атаку.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;aino_stage_1_dmg;Урон атаки 1;Stage 1 DMG
feature_skill;aino_stage_2_dmg;Урон атаки 2;Stage 2 DMG
talent_name;aino_musecatcher;Ловец вдохновения;Musecatcher
talent_descr;aino_musecatcher;<p>name{Айно} бросает вперёд name{Ловца вдохновения}, который наносит hydro{Гидро урон} и увлекает её за собой. Когда движение прекращается, name{Айно} наносит hydro{Гидро урон по площади} врагам поблизости.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление броска Ловца вдохновения.</p><p><i>«За всё, будь то поедание сладостей или воплощение идей, нужно браться своими руками. Хм, а Клац-клац-клац тоже считается рукой?..»</i></p>;"<p>name{Aino} throws a name{Musecatcher} forward, dealing hydro{Hydro DMG} and dragging her along behind it. When the dragging stops, name{Aino} deals hydro{AoE Hydro DMG} to nearby opponents.<br>Holding the Skill will cause it to behave differently.</p><p>name{Hold}<br>Enter Aiming Mode to adjust the Musecatcher's throwing direction.</p><p><i>""Dreams — and snacks — should be seized with your own hands... Kerplunk-a-tron counts as my hand, right?""</i></p>"
feature_burst;aino_water_ball_dmg;Урон водяного снаряда;Water Ball DMG
talent_name;aino_precision_hydronic_cooler;Точный водоохладитель;Precision Hydronic Cooler
talent_descr;aino_precision_hydronic_cooler;<p>name{Айно} задействует name{Охладительного утёнка}, сверхразбрызгиватель особой сборки, который образует name{Зону точечного охлаждения}.<br>Во время действия Охладительный утёнок периодически выпускает во врагов поблизости водяные снаряды, нанося hydro{Гидро урон}.</p><p><i>«Когда приходится действовать, бывает так, что сердце из груди выпрыгивает, но голову нужно держать в холоде... А? Да я не о сражениях! Я о создании машин говорю!»</i></p>;"<p>name{Aino} deploys a custom water-spraying device, the name{Cool Your Jets Ducky} to establish a name{Focused Hydronic Cooling Zone}.<br>While active, the Cool Your Jets Ducky will periodically fire water balls at nearby opponents, dealing hydro{Hydro DMG}.</p><p><i>""When taking action, no matter how fast your heart is pounding, you've gotta keep a cool head... Huh? Fighting? No, I'm talking about making machines!""</i></p>"
talent_name;aino_modular_efficiency_protocol;Протокол модульной эффективности;Modular Efficiency Protocol
talent_descr;aino_modular_efficiency_protocol;В зависимости от skill{Лунного знамения} отряда name{Айно} получает соответствующие усиления.<br><br>skill{Лунное знамение - Высшее сияние}: её name{взрыв стихии} skill{burst:Точный водоохладитель} получает усиление: skill{Охладительный утёнок} выпускает водяные снаряды через более короткие интервалы и наносит hydro{Гидро урон} по большей площади.;name{Aino} will be granted the corresponding buff effects based on the party's skill{Moonsign}.<br><br>skill{Moonsign: Ascendant Gleam}: Her name{Elemental Burst} skill{burst:Precision Hydronic Cooler} is enhanced: The skill{Cool Your Jets Ducky} will fire water balls more frequently, and the water balls will deal AoE hydro{Hydro DMG} over a larger area of effect.
talent_name;aino_structured_power_booster;Структурированный усилитель;Structured Power Booster
talent_descr;aino_structured_power_booster;Урон name{взрыва стихии} name{Айно} повышается на %{dmg_burst_bonus_percent} от её мастерства стихии.;name{Aino}'s name{Elemental Burst DMG} is increased by %{dmg_burst_bonus_percent} of her name{Elemental Mastery}.
talent_name;aino_force_limit_analysis;Дар лунного знамения: Анализ предела мощности;Moonsign Benediction: Force Limit Analysis
talent_descr;aino_force_limit_analysis;Когда name{Айно} в отряде, уровень skill{Лунного знамения} отряда повышается на 1.;When name{Aino} is in the party, the party's skill{Moonsign} will increase by 1 level.
talent_name;aino_the_theory_of_ashfield_equilibrium;Теория баланса пепельного поля;The Theory of Ash—Field Equilibrium
talent_descr;aino_the_theory_of_ashfield_equilibrium;После того как name{Айно} применяет name{элементальный навык} skill{skill:Ловец вдохновения} или name{взрыв стихии} skill{burst:Точный водоохладитель}, её name{мастерство стихий} повышается на %{mastery} ед. name{Мастерство стихий} других активных персонажей поблизости повышается на %{mastery} ед. на 15 сек.<br><br>Эффекты повышения name{мастерства стихий} этого созвездия не складываются.;After name{Aino} uses her name{Elemental Skill} skill{skill:Musecatcher} or her name{Elemental Burst} skill{burst:Precision Hydronic Cooler}, her name{Elemental Mastery} will be increased by %{mastery}. The name{Elemental Mastery} of other nearby active party members will be increased by %{mastery} for 15s.<br><br>The name{Elemental Mastery}-increasing effects of this Constellation do not stack.
talent_name;aino_the_principle_of_transference_in_gear_differentials;Принцип перенесения дифференциала;The Principle of Transference in Gear Differentials
talent_descr;aino_the_principle_of_transference_in_gear_differentials;Когда skill{Зона точечного охлаждения} name{взрыва стихии} skill{burst:Точный водоохладитель} активна и name{Айно} находится вне поля боя, при попадании атак активного персонажа отряда во врага поблизости skill{Охладительный утёнок} выпускает в этого врага 1 дополнительный водяной снаряд, который наносит hydro{Гидро урон} по площади, равный %{dmg_atk} name{силы атаки} и %{dmg_mastery} name{мастерства стихий} name{Айно}. Этот эффект может возникнуть один раз в 5 сек., а его урон считается уроном name{взрыва стихии}.;If name{Aino} is off-field while the skill{Focused Hydronic Cooling Zone} of her name{Elemental Burst} skill{burst:Precision Hydronic Cooler} is active, when your active party member hits a nearby opponent with an attack, the skill{Cool Your Jets Ducky} will fire an additional water ball at that opponent, dealing AoE hydro{Hydro DMG} equal to %{dmg_atk} of name{Aino}'s name{ATK} and %{dmg_mastery} of her name{Elemental Mastery}. This DMG is considered name{Elemental Burst DMG}. This effect can be triggered once every 5s.
talent_name;aino_cake_and_the_art_of_mechanism_repair;Торт и искусство починки механизмов;Cake and the Art of Mechanism Repair
talent_name;aino_butter_and_cats_and_the_law_of_energy_supply;Масло и кошки и закон подачи питания;Butter and Cats and the Law of Energy Supply
talent_descr;aino_butter_and_cats_and_the_law_of_energy_supply;name{Элементальный навык} skill{skill:Ловец вдохновения}, попадая по противнику, восстанавливает name{Айно} value{10} name{ед. энергии}. Восстанавливать энергию таким способом можно один раз в 10 сек.;When the name{Elemental Skill} skill{skill:Musecatcher} hits an opponent, it will restore value{10} name{Elemental Energy} for name{Aino}. name{Energy} can be restored to her in this manner once every 10s.
talent_name;aino_perpetual_turbine_of_metal_and_light;Вечная турбина из металла и света;Perpetual Turbine of Metal and Light
talent_name;aino_the_burden_of_creative_genius;Ноша творческого гения;The Burden of Creative Genius
talent_descr;aino_the_burden_of_creative_genius;На 15 сек. после применения name{взрыва стихии} skill{burst:Точный водоохладитель} урон реакций electro{Заряжен}, dendro{Бутонизация}, electro{Лунный заряд}, dendro{Лунная бутонизация} и geo{Лунный кристалл} активного персонажа поблизости увеличивается на %{text_number_percent_1}.<br>skill{Лунное знамение - Высшее сияние}: урон этих реакций дополнительно повышается на format{text_number_f=2|%{text_number_percent_2}}.;For the next 15s after using the name{Elemental Burst} skill{burst:Precision Hydronic Cooler}, DMG from nearby active characters' electro{Electro-Charged}, dendro{Bloom}, electro{Lunar-Charged}, dendro{Lunar-Bloom}, and geo{Lunar-Crystallize} reactions is increased by %{text_number_percent_1}.<br>skill{Moonsign: Ascendant Gleam}: DMG from the aforementioned reactions will be further increased by format{text_number_f=2|%{text_number_percent_2}}.
