category;name;rus;eng
char_name;traveler_hydro;Путешественник;Traveler
talent_name;traveler_foreign_stream;Чужеземный поток;Foreign Stream
talent_descr;traveler_foreign_stream;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;traveler_torrent_surge_dmg;Урон Бурных вод;Torrent Surge DMG
feature_skill;traveler_dewdrop_dmg;Урон Капли росы;Dewdrop DMG
feature_skill;traveler_suffusion_hp_cost;Потребление HP Затоплением;Suffusion HP Cost
feature_skill;traveler_suffusion_dmg_bonus;Бонус урона Затопления;Suffusion DMG Bonus
feature_skill;traveler_hold_duration;Длительность долгого нажатия;Hold Duration
talent_name;traveler_aquacrest_saber_1;Клинок водной эмблемы;Aquacrest Saber
talent_name;traveler_aquacrest_saber_2;name{Затопление};name{Suffusion}
talent_descr;traveler_aquacrest_saber_1;<p>Выпускает стремительный поток, который очищает мир.</p><p>name{Быстрое нажатие}<br>Выпускает вперёд name{Бурные воды}, которые при соприкосновении с врагами наносят hydro{Гидро урон}.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания и непрерывно выпускает в направлении прицеливания Капли росы, которые при попадании наносят hydro{Гидро урон}.<br>Навык завершается Бурными водами, выпускаемыми вперёд и при соприкосновении наносящими врагам hydro{Гидро урон}.<br>name{Затопление}: при долгом нажатии, если name{HP} путешественника выше 50%, урон name{Капель росы} повысится пропорционально его name{макс. HP}, причём он начнёт терять определённое количество name{HP} каждую секунду.</p><p>name{Архэ: Пневма}<br>С некоторым интервалом после использования Бурных вод выпускает пронзающую врагов Иглу дыхания душ, которая наносит hydro{Гидро урон} пневмы.</p><p><i>Вы с Паймон наблюдали за рябью, пробегающей по водной глади.</i></p>;<p>Unleashes a torrent that can cleanse the world.</p><p>name{Press}<br>Sends a name{Torrent Surge} forward that will deal hydro{Hydro DMG} to opponents it comes into contact with.</p><p>name{Hold}<br>Enter Aiming Mode and constantly fire off Dewdrops in the direction in which you are aiming, dealing hydro{Hydro DMG} to opponents they hit.<br>When the skill ends, it will send a name{Torrent Surge} forward that will deal hydro{Hydro DMG} to opponents it comes into contact with.<br>name{Suffusion}: When using the Hold configuration of this skill, if the name{Traveler}'s name{HP} is higher than 50%, the DMG dealt by Dewdrops will increase based on the name{Traveler}'s name{Max HP}, and the name{Traveler} will lose a fixed amount of name{HP} every second.</p><p>name{Arkhe: Pneuma}<br>At certain intervals, after using name{Torrent Surge}, this skill will unleash a Spiritbreath Thorn that pierces opponents, dealing Pneuma-aligned hydro{Hydro DMG}.</p><p><i>You studied the ripples in the water with Paimon.</i></p>
talent_descr;traveler_aquacrest_saber_2;<p>При долгом нажатии, если name{HP} путешественника выше 50%, урон name{Капель росы} повысится пропорционально его name{макс. HP}, причём он начнёт терять определённое количество name{HP} каждую секунду.</p>;<p> When using the Hold configuration of this skill, if the name{Traveler}'s name{HP} is higher than 50%, the DMG dealt by Dewdrops will increase based on the name{Traveler}'s name{Max HP}, and the name{Traveler} will lose a fixed amount of name{HP} every second.</p>
talent_name;traveler_rising_waters;Прибывающая вода;Rising Waters
talent_descr;traveler_rising_waters;<p>Выпускает медленно парящий пузырь, периодически наносящий hydro{Гидро урон} врагам поблизости.</p><p><i>Вы с Паймон изучали приливы и отливы.</i></p>;<p>Unleashes a slow-moving floating bubble that deals continuous hydro{Hydro DMG} to nearby opponents.</p><p><i>You studied the ebb and flow of the tides with Paimon.</i></p>
talent_name;traveler_spotless_waters;Чистые воды;Spotless Waters
