category;name;rus;eng
char_name;fischl;Фишль;Fischl
talent_name;fischl_midnight_phantasmagoria;Ночная иллюзия;Midnight Phantasmagoria
talent_descr;fischl_midnight_phantasmagoria;"<p>Приказывает ворону Озу расправить свои сумеречные крылья и встать на защиту Фишль.<br>Пока навык активен:<br>· Фишль принимает форму Оза, значительно увеличивающую её скорость передвижения;<br>· Обрушивает на ближайших врагов молнию, наносящую electro{Электро урон}. Каждый противник может получить только один удар молнией;<br>· После окончания навыка Оз остаётся на поле боя, продолжая атаковать врагов принцессы. Если Оз уже был на поле боя, этот навык сбрасывает длительность его присутствия.</p><p><i>«...среди полчищ демонов, что следуют за проклятой кровью, только Ночной принц, бывший свидетелем гибели тысячи миров, знает её истинное величие. Его расправленные крылья ночи - вечная клятва защищать её королевское высочество».</i><br><i>(Цветы для принцессы Фишль. Глава 1: Краткое изложение судного дня)</i></p>";"<p>Summons Oz to spread his twin wings of twilight and defend Fischl.<br>Has the following properties during the ability's duration:<br>·Fischl takes on Oz's form, greatly increasing her Movement Speed.<br>·Strikes nearby opponents with lightning, dealing electro{Electro DMG} to opponents she comes into contact with. Each opponent can only be struck once.<br>·Once this ability's effects end, Oz will remain on the battlefield and attack his Prinzessin's foes. If Oz is already on the field, then this will reset the duration of his presence.</p><p><i>""...In the hordes of beasts that follow the cursed blood, only Prince Nachtraben, who bore witness to the extinction of a thousand worlds, knows her true greatness. Thus the night wings he spreads are his eternal promise to protect Her Royal Highness.""</i><br><i>—Flowers for Princess Fischl (I): End Time Zersetzung</i></p>"
talent_name;fischl_bolts_of_downfall;Стрела возмездия;Bolts of Downfall
talent_descr;fischl_bolts_of_downfall;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается тьмой Нирваны Ночи. Полностью заряженная тьмой стрела наносит огромный electro{Электро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, the dark lightning spirits of Immernachtreich shall heed the call of their Prinzessin and indwell the enchanted arrowhead. When fully indwelt, the Rachsüchtig Blitz shall deal immense electro{Electro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;fischl_nightrider;Тень расправленных крыльев;Nightrider
talent_descr;fischl_nightrider;<p>Призывает Оза. Ночной ворон, сотканный из тьмы и молнии, спускается на землю и наносит electro{Электро урон} в небольшом радиусе.<br>Пока навык активен, Оз будет атаковать ближайших врагов electro{Электро снарядами}.</p><p>Удерживайте, чтобы указать место, куда будет призван Оз.<br>Пока навык активен, нажмите снова, чтобы подозвать его к Фишль.</p><p><i>«- Я не собираюсь тратить своё драгоценное время на таких, как ты... Оз, обрушь же на них карающую молнию! Пусть она осветит вечную ночь!»</i> <i>(Цветы для принцессы Фишль. Глава 4: Прощание с Владычицей Мира)</i></p>;"<p>Summons Oz. The night raven forged of darkness and lightning descends upon the land, dealing electro{Electro DMG} in a small AoE.<br>For the ability's duration, Oz will continuously attack nearby opponents with electro{Freikugel}.</p><p>Hold to adjust the location Oz will be summoned to.<br>Press again any time during the ability's duration to once again summon him to Fischl's side.</p><p><i>""My time is most precious, and I shall not waste it on the likes of you... Go, Oz, fall upon them, and bring down upon them your Rachsüchtig Blitz, that which tears open the long night.""</i><br><i>—Flowers for Princess Fischl (IV): Farewell Frau Welt</i></p>"
talent_name;fischl_stellar_predator;Ворон, клюющий звёзды;Stellar Predator
talent_descr;fischl_stellar_predator;При попадании по name{Озу} полностью name{заряженной стрелой} name{Фишль}, он создаёт name{грозу}, наносящую electro{Электро урон} по площади, равный %{text_percent_dmg} от урона стрелы.;When name{Fischl} hits name{Oz} with a fully-charged name{Aimed Shot}, name{Oz} brings down name{Thundering Retribution}, dealing AoE electro{Electro DMG} equal to %{text_percent_dmg} of the arrow's DMG.
talent_name;fischl_undone_be_thy_sinful_hex;Да будет снято проклятье;Undone Be Thy Sinful Hex
talent_descr;fischl_undone_be_thy_sinful_hex;Если в присутствии name{Оза} во время атаки ваш персонаж вызывает какую-либо electro{Электро} реакцию, на противника нисходит name{божественная молния}, которая наносит electro{Электро урон}, равный %{text_percent_dmg} от name{силы атаки} name{Фишль}.;If your current active character triggers an electro{Electro}-related name{Elemental Reaction} when name{Oz} is on the field, the opponent shall be stricken with name{Thundering Retribution} that deals electro{Electro DMG} equal to %{text_percent_dmg} of name{Fischl}'s name{ATK}.
