category;name;rus;eng
char_name;escoffier;Эскофье;Escoffier
talent_name;escoffier_scoring_cuts;Приём нарезки;Scoring Cuts
talent_descr;escoffier_scoring_cuts;<p>Демонстрируя мастерство владения кухонным ножом, name{Эскофье} наносит cryo{Крио урон по площади} и восстанавливает name{HP} всем членам отряда поблизости пропорционально своей name{силе атаки}.</p>;<p>Displaying her exceptional knife skills, name{Escoffier} deals cryo{AoE Cryo DMG} and restores name{HP} to all nearby party members based on her name{ATK}.</p>
talent_name;escoffier_kitchen_skills;Кулинарное мастерство;Kitchen Skills
talent_descr;escoffier_kitchen_skills;<p>name{Обычная атака:}<br>До трёх последовательных ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и наносит восходящий удар.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform an upward thrust.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;escoffier_low_temperature_cooking;Готовка на малом огне;Low-Temperature Cooking
talent_descr;escoffier_low_temperature_cooking;<p>Узрите истинное значение «готовки»! В зависимости от того, было совершено быстрое или долгое нажатие навыка, name{Эскофье} различными способами демонстрирует кулинарное мастерство, которым гордится весь Фонтейн.</p><p>name{Быстрое нажатие:}<br>Активирует Универсального мультифункционального name{кулинарного мека} в режиме холодильника и наносит врагам поблизости cryo{Крио урон по площади}.</p><p>name{Кулинарный мек: Режим холодильника}<br>Следует за активным персонажем и периодически выпускает в противников поблизости морозные парфе, нанося cryo{Крио урон}.</p><p>name{Архэ: Усия}<br>Активируя Универсального мультифункционального name{кулинарного мека} в режиме холодильника, name{Эскофье} периодически призывает Клинок бурных вод, который наносит cryo{Крио урон по площади} усии.</p><p>name{Долгое нажатие:}<br>Активирует Универсального мультифункционального name{кулинарного мека} в skill{n11120002:режиме импровизированного приготовления}.</p>;"<p>Behold the true meaning of ""cooking""! name{Escoffier} will demonstrate different cooking techniques when you Tap or Hold this skill, but rest assured, each of them is Fontaine's pride and joy.</p><p>name{Tap}<br>Activates her All-Spectrum Multi-Use name{Cooking Mek} in its Cold Storage mode and deals cryo{AoE Cryo DMG} to nearby opponents.</p><p>name{Cooking Mek: Cold Storage Mode}<br>Follows the current active character and fires Frosty Parfaits at nearby opponents at intervals, dealing cryo{Cryo DMG}.</p><p>name{Arkhe: Ousia}<br>At intervals, name{Escoffier} will summon a Surging Blade when activating her name{Cooking Mek} in Cold Storage mode, dealing Ousia-aligned cryo{AoE Cryo DMG}.</p><p>name{Hold}<br>Activates her All-Spectrum Multi-Use name{Cooking Mek}'s skill{n11120002:Off-the-Cuff Cookery Mode}.</p>"
talent_name;escoffier_better_to_salivate_than_medicate;Добрая еда лучше лекарств;Better to Salivate Than Medicate
talent_descr;escoffier_better_to_salivate_than_medicate;После применения name{взрыва стихии} skill{burst:Приём нарезки} name{Эскофье} на 9 сек. получает эффект name{Восстановительной диеты}: раз в 1 сек. восстанавливает name{HP} активных персонажей поблизости в размере %{text_percent_dmg} от name{силы атаки} name{Эскофье}.;After using the name{Elemental Burst} skill{burst:Scoring Cuts}, name{Escoffier} will obtain the name{Rehab Diet} effect for 9s: Restores name{HP} for nearby active characters every 1s based on %{text_percent_dmg} of name{Escoffier}'s name{ATK}.
talent_name;escoffier_inspiration_immersed_seasoning;Вдохновение в пряностях;Inspiration-Immersed Seasoning
