category;name;rus;eng
char_name;lohen;Лоэн;Lohen
talent_name;lohen_spear_of_favonius_broken_oath;Копьё Фавония: Преданная клятва;Spear of Favonius — Broken Oath
talent_descr;lohen_spear_of_favonius_broken_oath;<p>name{Обычная атака:}<br>До пяти последовательных ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и выполняет удар вперёд.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform a forward thrust.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;lohen_masterstroke;Длительность Мастерского хода;Masterstroke
feature_skill;lohen_etched_into_bone_and_soul_dmg;Урон навыка Врезано в кость и сердце;Etched Into Bone and Soul DMG
feature_skill;lohen_dmg_increase_from_will_to_win;Увеличение исходного урона за ед. Жажды победы;DMG Increase From Will to Win
talent_name;lohen_unforeseen_strike;Непредвиденный удар;Unforeseen Strike
talent_descr;lohen_unforeseen_strike;"<p>name{Лоэн} ищет уязвимости и переходит в режим skill{n11290001:Мастерского хода}. В этом режиме:<br>· name{Лоэн} накапливает skill{n11290003:Ликование}, которое позволяет ему активировать особый name{элементальный навык} skill{n11290002:Врезано в кость и сердце}.<br>· Другие персонажи отряда поблизости накапливают Лоэну skill{n11290004:Жажду победы}, повышая урон навыка name{Врезано в кость и сердце}.<br>После максимум 3 применений навыка name{Врезано в кость и сердце} в режиме name{Мастерского хода} name{Лоэн} перестаёт получать name{Ликование}.</p><p><i>«Рыцарство? Ха, это действительно отличная приманка. Когда враг мечтает о честном поединке, он и представить не может, какой его ожидает ""сюрприз""».</i></p>";"<p>As he searches for weaknesses, name{Lohen} switches to skill{n11290001:Masterstroke} mode. While in this state:<br>· name{Lohen} can actively accumulate skill{n11290003:Joy}, using it to unleash the special name{Elemental Skill} skill{n11290002:Etched Into Bone and Soul}.<br>· Nearby party members can accumulate skill{n11290004:Will to Win} for name{Lohen}, increasing the DMG dealt by name{Etched Into Bone and Soul}.<br>name{Lohen} can unleash name{Etched Into Bone and Soul} up to 3 times while in name{Masterstroke} mode, after which, he will no longer be able to accumulate name{Joy}.</p><p><i>""Chivalry? Hah, what better way to bait the trap? When an enemy dreams of an honorable victory, they inevitably fail to suspect the 'pleasant surprise' that awaits them.""</i></p>"
feature_burst;lohen_dmg_increase_from_will_to_win;Увеличение исходного урона за ед. Жажды победы;DMG Increase From Will to Win
talent_name;lohen_manifest_judgment;Вынесение приговора;Manifest Judgment
talent_descr;lohen_manifest_judgment;<p>Выполняет стремительную серию ударов вперёд, расходуя всю skill{n11290004:Жажду победы} и нанося cryo{Крио урон}. Этот урон повышается в зависимости от количества израсходованной name{Жажды победы}. Если во время применения навыка name{Лоэн} находится в режиме skill{n11290001:Мастерского хода}, то текущий name{Мастерский ход} продлевается на 1,65 сек.</p><p><i>«У тебя всё? Жаль, я только вошёл во вкус...»</i></p>;"<p>Performs a swift series of forward strikes, consuming all skill{n11290004:Will to Win} and dealing cryo{Cryo DMG}. This DMG will be increased based on the amount of name{Will to Win} consumed. If name{Lohen} is in skill{n11290001:Masterstroke} mode when this is performed, the duration of name{Masterstroke} will be extended by 1.65s.</p><p><i>""So quick to cave? What a pity, I was just starting to enjoy myself...""</i></p>"
talent_name;lohen_moratorium_on_questioning;Запрет на допросы;Moratorium on Questioning
talent_descr;lohen_moratorium_on_questioning;<p>Если другие персонажи отряда поблизости накапливают Лоэну skill{n11290004:Жажду победы}, нанося урон, когда name{Лоэн} находится в режиме skill{n11290001:Мастерского хода}, а данный урон не менее 3000% от базовой атаки name{Лоэна}, то он дополнительно получает 60 ед. skill{Жажды победы}.</p>;<p>When nearby party members accumulate skill{n11290004:Will to Win} for name{Lohen} by dealing DMG while he is in skill{n11290001:Masterstroke} mode, if that DMG is not less than 3,000% of name{Lohen}'s name{Base ATK}, it will accumulate an extra 60 skill{Will to Win}.</p>
talent_name;lohen_flippant_masterpiece;Шуточный шедевр;Flippant Masterpiece
talent_descr;lohen_flippant_masterpiece;<p>Когда name{Лоэн} пребывает в режиме skill{n11290001:Мастерского хода}, после того как другой персонаж отряда поблизости активирует на противнике реакцию cryo{Крио}, name{сила атаки} этого персонажа и name{Лоэна} на 8 сек. повышается на %{atk_percent}.</p>;<p>While in skill{n11290001:Masterstroke} mode, for 8s after another nearby party member triggers a cryo{Cryo} Reaction, that character's name{ATK} is increased by %{atk_percent}, while name{Lohen}'s name{ATK} is increased by %{atk_percent}.</p>
talent_name;lohen_unhealing_thorn;Ведьмин ритуал кануна: Незаживающий шип;Witch's Eve Rite: Unhealing Thorn
talent_descr;lohen_unhealing_thorn_1;<p>Выполнив skill{Уроки ведьм: О различных врагах}, name{Лоэн} станет skill{Ведьмовским} персонажем. Если в отряде хотя бы 2 name{Ведьмовских} персонажа, активируется эффект skill{Ведьмовство: Тайный обряд}, который усиливает name{Ведьмовских} персонажей.</p>;<p>After completing skill{Witch's Homework: Of Various Foes}, name{Lohen} becomes a skill{Hexerei} character. When the party includes at least 2 name{Hexerei} characters, you gain the skill{Hexerei: Secret Rite} effect, which enhances name{Hexerei} characters.</p>
talent_descr;lohen_unhealing_thorn_2;<p>skill{Ведьмовство: Тайный обряд}<br>Когда name{Лоэн} попадает по противнику особым name{элементальным навыком} skill{n11290002:Врезано в кость и сердце} или применяет name{взрыв стихии} skill{burst:Вынесение приговора}, а его skill{n11290004:Жажда победы} не менее value{50%} от максимума, то name{урон обычной} и name{заряженной атак} name{Лоэна} повышается на %{dmg_normal} на 6 сек.</p>;<p>skill{Hexerei: Secret Rite}<br>When the special name{Elemental Skill} skill{n11290002:Etched Into Bone and Soul} hits an opponent or the name{Elemental Burst} skill{burst:Manifest Judgment} is unleashed, if name{Lohen}'s skill{n11290004:Will to Win} is at value{50%} or more of its max limit, his name{Normal Attack} and name{Charged Attack DMG} will be increased by %{dmg_normal} for 6s.</p>
talent_name;lohen_o_breezes_that_so_oft_bear_sorrowful_lament;О ветра, что несут скорбные песни;O Breezes, That So Oft Bear Sorrowful Lament
