category;name;rus;eng
char_name;clorinde;Клоринда;Clorinde
talent_name;clorinde_oath_of_hunting_shadows;Клятва Сумеречного двора;Oath of Hunting Shadows
talent_descr;clorinde_oath_of_hunting_shadows;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Ведёт веерообразный подавляющий огонь из пистолета, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and fires Suppressing Shots in a fan pattern with her pistolet.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;clorinde_swift_hunt_dmg;Урон Неистовой охоты;Swift Hunt DMG
feature_skill;clorinde_swift_hunt_bond_of_life_gain;Долг жизни от Неистовой охоты;Swift Hunt Bond of Life Gain
feature_skill;clorinde_impale_the_night_dmg;Урон Пронзания ночи;Impale the Night DMG
feature_skill;clorinde_impale_the_night_healing;Лечение Пронзания ночи;Impale the Night Healing
feature_skill;clorinde_bond_of_life_conversion;Конвертация Долга жизни;Bond of Life Conversion
feature_skill;clorinde_night_vigil_duration;Длительность Ночного дозора;Night Vigil Duration
talent_name;clorinde_hunters_vigil;Охота на тьму;Hunter's Vigil
