category;name;rus;eng

feature_skill;clorinde_wild_hunt_1_dmg;Урон Неистовой охоты-1;Swift Hunt DMG-1
feature_skill;clorinde_wild_hunt_2_dmg;Урон Неистовой охоты-2;Swift Hunt DMG-2
feature_skill;clorinde_impale_the_night_1_dmg;Урон Пронзания ночи-1;Impale the Night DMG-1
feature_skill;clorinde_impale_the_night_2_dmg;Урон Пронзания ночи-2;Impale the Night DMG-2
feature_skill;clorinde_impale_the_night_3_dmg;Урон Пронзания ночи-3;Impale the Night DMG-3
feature_skill;clorinde_impale_the_night_2_heal;Лечение Пронзания ночи-2;Impale the Night Healing-2
feature_skill;clorinde_impale_the_night_3_heal;Лечение Пронзания ночи-3;Impale the Night Healing-3
feature_skill;clorinde_nightwatch_shade_dmg;Урон Тени ночного дозора;Nightwatch Shade DMG
feature_other;clorinde_glimbright_shade_dmg;Урон Тени яркой свечи;Glimbright Shade DMG

stat;dmg_burst_clorinde;Последние лучи света;Last Lightfall

talent_name;clorinde_night_watch;Ночной дозор;Night Watch
talent_descr;clorinde_night_watch;В этом состоянии name{обычная атака} name{Клоринды} превращаются в мушкетные атаки name{Неистовой охоты}, а их урон конвертируется в урон electro{Электро}, который не может быть отменён другими инфузиями. Её name{элементальный навык} превращается в name{Пронзание ночи}: выполняет рывок и наносит electro{Электро урон}. Урон, наносимый таким способом, считается уроном name{обычной атаки}.;name{Clorinde}'s name{Normal Attacks} will be transformed into "name{Wild Hunt}" pistolet attacks, and the DMG dealt is converted into electro{Electro DMG} that cannot be overridden by infusions. Her name{Elemental Skill} will be transformed into "name{Impale the Night}": Performs a lunging attack, dealing electro{Electro DMG}. The DMG done through the aforementioned method is considered name{Normal Attack} DMG.
