category;name;rus;eng
char_name;shenhe;Шэнь Хэ;Shenhe
talent_name;shenhe_dawnstar_piercer;Пронзая звёзды;Dawnstar Piercer
talent_descr;shenhe_dawnstar_piercer;<p>name{Обычная атака:}<br>До пяти ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;shenhe_dmg_bonus;Повышение урона;DMG Bonus
feature_skill;shenhe_duration;Длительность эффекта быстрого/долгого нажатия;Press/Hold Duration
feature_skill;shenhe_stacks;Количество зарядов эффекта при быстром/долгом нажатии;Press/Hold Trigger Quota
talent_name;shenhe_spring_spirit_summoning;Призыв духа;Spring Spirit Summoning
talent_descr;shenhe_spring_spirit_summoning_1;<p>Иней застывшего серебра изгоняет всех демонов.<br>Накладывает эффект name{Ледяное перо} на всех окружающих членов отряда и наносит разное количество cryo{Крио урона} в зависимости от того, была ли использована форма быстрого или долгого нажатия навыка.</p><p>name{Быстрое нажатие:}<br>Бросается вперёд вместе с Духом талисмана, нанося cryo{Крио урон} противникам на пути.</p><p>name{Долгое нажатие:}<br>Приказывает Духу талисмана нанести cryo{Крио урон по площади}.</p><p>name{Ледяное перо:}<br>Когда name{обычные атаки}, name{заряженные атаки}, name{атаки в падении}, name{элементальные навыки} или взрывы стихии наносят противникам cryo{Крио урон}, то наносимый урон увеличивается в зависимости от текущей name{силы атаки} name{Шэнь Хэ}.</p><p>Эффект name{Ледяное перо} будет снят по окончании его действия или после израсходования определённого количества зарядов. Долгое нажатие даст большую продолжительность и большее количество зарядов, чем быстрое.</p><p>Когда cryo{Крио урон} от одного удара наносится одновременно нескольким противникам, заряды будут расходоваться в зависимости от количества поражённых противников. Количество зарядов name{Ледяного пера} каждого члена отряда подсчитывается отдельно.</p><p><i>Велика сила духов. В бою слава их ждёт. По приказу богини устремятся вперёд!</i></p>;<p>The frosted dew, silvery and dense, shall exorcise all demons.<br>Grants all nearby party members the name{Icy Quill} effect and deals cryo{Cryo DMG} in different ways based on whether it is pressed or held.</p><p>name{Press}<br>Rushes forward together with a Talisman Spirit, dealing cryo{Cryo DMG} to opponents along the path.</p><p>name{Hold}<br>Commands the Talisman Spirit to deal cryo{AoE Cryo DMG}.</p><p>name{Icy Quill}<br>When name{Normal}, name{Charged}, and name{Plunging Attacks}, name{Elemental Skills}, and name{Elemental Bursts} deal cryo{Cryo DMG} to opponents, the DMG dealt is increased based on name{Shenhe}'s current name{ATK}.</p><p>The name{Icy Quill}'s effects will be cleared once its duration ends or after being triggered a certain number of times. When held rather than pressed, the name{Icy Quill}'s effect lasts longer and can be triggered more times.<br>When one cryo{Cryo DMG} instance strikes multiple opponents, the effect is triggered multiple times based on the number of opponents hit. The number of times the effect is triggered is calculated independently for each party member with the name{Icy Quill}.</p><p><i>The power of the spirits is no falsehood. Burdened with her orders, the divine maiden hurries on!</i></p>
talent_descr;shenhe_spring_spirit_summoning_2;Когда name{обычные атаки}, name{заряженные атаки}, name{атаки в падении}, name{элементальные навыки} или взрывы стихии наносят противникам cryo{Крио урон}, то наносимый урон увеличивается в зависимости от текущей name{силы атаки} name{Шэнь Хэ}.;When name{Normal}, name{Charged}, and name{Plunging Attacks}, name{Elemental Skills}, and name{Elemental Bursts} deal cryo{Cryo DMG} to opponents, the DMG dealt is increased based on name{Shenhe}'s current name{ATK}.
feature_burst;shenhe_res_decrease;Понижение сопротивления;RES Decrease
