category;name;rus;eng
char_name;layla;Лайла;Layla
talent_name;layla_sword_of_the_radiant_path;Меч сияющей тропы;Sword of the Radiant Path
talent_descr;layla_sword_of_the_radiant_path;<p>name{Обычная атака:}<br>До трёх быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;layla_shooting_star_dmg;Урон Метеора;Shooting Star DMG
feature_skill;layla_base_shield_dmg_absorption;Базовое поглощение щита;Base Shield DMG Absorption
talent_name;layla_nights_of_formal_focus;Ночи почтенного сосредоточения;Nights of Formal Focus
talent_descr;layla_nights_of_formal_focus;<p>Создаёт щит, который называется name{Пологом сновидений}, нанося cryo{Крио урон по площади}.<br>Поглощаемый name{Пологом сновидений} урон зависит от максимального name{HP} name{Лайлы}, при этом он поглощает cryo{Крио урон с 250% эффективностью}. При активации Полога Лайла получает кратковременный cryo{эффект Крио}.</p><p>name{Ночные звёзды и Метеоры}<br>Каждые 1,5 сек. во время своего действия name{Полог сновидений} создаёт 1 name{Ночную звезду}, которая прикрепляется к нему. Когда персонаж под защитой name{Полога сновидений} активирует name{элементальный навык}, создаются 2 name{Ночные звезды}. name{Ночные звёзды} таким способом можно создавать один раз каждые 0,3 сек. Одновременно может существовать до 4 name{Ночных звёзд}.<br>Когда на name{Пологе сновидений} 4 name{Ночные звезды}, а поблизости есть враги, звёзды по очереди превращаются в name{Метеоры}, которые самостоятельно находят и поражают врагов, нанося cryo{Крио урон}.<br>Когда действие name{Полога сновидений} истекает или он разрушается, name{Ночные звёзды} исчезают вместе с ним. Если они уже превратились в name{Метеоры}, которые начали поражать врагов, эти name{Метеоры} просуществуют до окончания своего действия.</p><p>Пока name{Метеоры} не закончат поражать врагов, новые name{Ночные звёзды} не появятся.</p><p><i>«Мы с ней как два мастера, которые никогда не встречались, но сидели на одной подушке и вышивали одни и те же цветы снов».</i></p>;"<p>Puts forth a shield known as the name{Curtain of Slumber}, dealing cryo{AoE Cryo DMG}.<br>The name{Curtain of Slumber}'s DMG Absorption is based on name{Layla}'s name{Max HP} and absorbs cryo{Cryo DMG} with 250% effectiveness. When the shield is deployed, name{Layla} will have cryo{Cryo} applied to her briefly.</p><p>name{Night Stars and Shooting Stars}<br>While the name{Curtain of Slumber} is active, it will create 1 name{Night Star} that will be attached to it every 1.5s. When a character protected by this shield uses an name{Elemental Skill}, 2 name{Night Stars} will be created. name{Night Stars} can be created once every 0.3s in this way. A maximum of 4 name{Night Stars} can be accumulated at any one time.<br>Once the name{Curtain of Slumber} has accumulated 4 name{Night Stars} and there are opponents nearby, these name{Night Stars} will transform into homing name{Shooting Stars} that will be fired off in sequence, dealing cryo{Cryo DMG} to any opponents hit.<br>If the name{Curtain of Slumber}'s duration ends or it is destroyed, the name{Night Stars} will disappear. If they are already being fired off as name{Shooting Stars}, these name{Shooting Stars} will last until this wave of shots ends.</p><p>New name{Night Stars} cannot be created until the previous wave of name{Shooting Stars} has been fired completely.</p><p><i>""She and I are like two master artisans who have never met, yet who sit at the same cushioned seat, embroidering the same dream-flower.""</i></p>"
feature_burst;layla_starlight_slug_dmg;Урон Заряда звёздного света;Starlight Slug DMG
talent_name;layla_dream_of_the_star_stream_shaker;Сон колыбели звёзд;Dream of the Star-Stream Shaker
talent_descr;layla_dream_of_the_star_stream_shaker;<p>Создаёт Небесную сферу снов, которая постоянно выпускает по противникам в области действия Заряды звёздного света, нанося cryo{Крио урон}.<br>При попадании Заряд звёздного света создаёт 1 name{Ночную звезду} на name{Пологе сновидений} поблизости. Подобным образом каждый name{Полог сновидений} может получать по 1 name{Ночной звезде} каждые 0,5 сек.</p><p><i>«Засыпай, засыпай. Пусть пред твоими спящими глазами на звёздных тропах снов развернутся мириады судеб».</i></p>;"<p>Unleashes a Celestial Dreamsphere that constantly fires name{Starlight Slugs} at opponents within its AoE, dealing cryo{Cryo DMG}.<br>When a Starlight Slug hits, it will generate 1 name{Night Star} for nearby Curtains of Slumber. Each name{Curtain of Slumber} can gain 1 name{Night Star} this way every 0.5s.</p><p><i>""Sleep now, sleep now; and may many destinies be revealed before your slumbering eyes, within your star-paved dreams.""</i></p>"
talent_name;layla_like_nascent_light;Зарождающийся свет;Like Nascent Light
talent_descr;layla_like_nascent_light;<p>Пока активен skill{Полог сновидений}, с каждой новой name{Ночной звездой} на name{Пологе} активируется name{Глубокий сон}:<br>· name{Прочность щита} персонажа под воздействием name{Полога сновидений} увеличивается на %{shield}.<br>· Эффект складывается до 4 раз и существует до тех пор, пока не исчезнет name{Полог сновидений}.</p>;<p>While the skill{Curtain of Slumber} is active, the name{Deep Sleep} effect will activate each time the name{Curtain} gains 1 name{Night Star}:<br>·The name{Shield Strength} of a character under the effect of the name{Curtain of Slumber} increases by %{shield}.<br>·This effect can have a maximum of 4 stacks and persists until the name{Curtain of Slumber} disappears.</p>
talent_name;layla_sweet_slumber_undisturbed;Непотревоженный сон;Sweet Slumber Undisturbed
talent_descr;layla_sweet_slumber_undisturbed;<p>Урон name{Метеоров} skill{skill:Ночей почтенного сосредоточения} повышается на %{text_percent} от name{макс. HP} name{Лайлы}.</p>;<p>The DMG dealt by the name{Shooting Stars} fired by skill{skill:Nights of Formal Focus} is increased by %{text_percent} of name{Layla}'s name{Max HP}.</p>
talent_name;layla_fortress_of_fantasy;Крепость фантазий;Fortress of Fantasy
talent_descr;layla_fortress_of_fantasy;<p>Поглощение урона name{Полога сновидений} навыка skill{skill:Ночи почтенного сосредоточения} увеличивается на %{text_percent_bonus}.<br>Активация навыка name{Ночи почтенного сосредоточения} на 12 сек. наделит не защищённых name{Пологом сновидений} персонажей щитом, поглощение урона которого составляет %{text_percent_shield} от поглощения name{Полога сновидений}. cryo{Крио урон} поглощается им с эффективностью 250%.</p>;<p>The Shield Absorption of the name{Curtain of Slumber} generated by skill{skill:Nights of Formal Focus} is increased by %{text_percent_bonus}.<br>Additionally, when unleashing name{Nights of Formal Focus}, she will generate a shield for any nearby party members who are not being protected by a name{Curtain of Slumber}. This shield will have %{text_percent_shield} of the absorption of a name{Curtain of Slumber}, will last for 12s, and will absorb cryo{Cryo DMG} with 250% effectiveness.</p>
talent_name;layla_lights_remit;Власть света;Light's Remit
talent_descr;layla_lights_remit;<p>Попадая по противникам, каждый name{Метеор} навыка skill{skill:Ночи почтенного сосредоточения} восстанавливает 1 ед. name{элементальной энергии} name{Лайлы}. Каждый name{Метеор} может таким образом восстановить энергию name{Лайлы} один раз.</p>;<p>When name{Shooting Stars} from skill{skill:Nights of Formal Focus} strike opponents, they will each restore 1 name{Energy} to name{Layla}. Each name{Shooting Star} can restore name{Energy} to her in this manner once.</p>
talent_name;layla_secrets_of_the_night;Тайны долгой ночи;Secrets of the Night
talent_name;layla_starry_illumination;Звёздный свет;Starry Illumination
talent_descr;layla_starry_illumination;<p>Когда навык skill{skill:Ночи почтенного сосредоточения} начинает запускать name{Метеоры}, он наделяет всех окружающих членов отряда name{Сумеречной звездой}, что увеличивает урон их name{обычных} и name{заряженных атак} на %{text_percent_dmg} от name{макс. HP} name{Лайлы}.<br>name{Сумеречная звезда} длится до 3 сек. и исчезает через 0,05 сек. после нанесения урона name{обычной} или name{заряженной атакой}.</p>;<p>When skill{skill:Nights of Formal Focus} starts to fire off name{Shooting Stars}, it will grant all nearby party members the name{Dawn Star} effect, causing their name{Normal} and name{Charged Attack DMG} to increase based on %{text_percent_dmg} of name{Layla}'s name{Max HP}.<br>name{Dawn Star} can last up to 3s and will be removed 0.05s after dealing name{Normal} or name{Charged Attack DMG}.</p>
talent_name;layla_stream_of_consciousness;Ручей сознания;Stream of Consciousness
talent_name;layla_radiant_soulfire;Лучезарное пламя души;Radiant Soulfire
talent_descr;layla_radiant_soulfire;<p>Урон name{Метеоров} навыка skill{skill:Ночи почтенного сосредоточения} и Зарядов звёздного света навыка skill{burst:Сон колыбели звёзд} повышается на %{dmg_skill_layla}.<br>Кроме того, интервал создания name{Ночных звёзд} навыка name{Ночи почтенного сосредоточения} сокращается на 20%.</p>;<p>name{Shooting Stars} from skill{skill:Nights of Formal Focus} deal %{dmg_skill_layla} increased DMG, and name{Starlight Slugs} from skill{burst:Dream of the Star-Stream Shaker} deal %{dmg_burst_layla} increased DMG.<br>Additionally, the interval between the creation of name{Night Stars} via name{Nights of Formal Focus} is decreased by 20%.</p>
