category;name;rus;eng
char_name;qiqi;Ци Ци;Qiqi
talent_name;qiqi_ancient_sword_art;Облачный меч;Ancient Sword Art
talent_descr;qiqi_ancient_sword_art;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;qiqi_herald_of_frost;Урон Вестника стужи;Herald of Frost DMG
feature_skill;qiqi_herald_of_frost_coordinated_attack_dmg;Урон совместной атаки Вестника стужи;Herald of Frost Coordinated Attack DMG
feature_skill;qiqi_herald_of_frost_coordinated_attack_cd;Время отката совместной атаки Вестника стужи;Herald of Frost Coordinated Attack CD
talent_name;qiqi_herald_of_frost;Искусство Адепта: Вестник стужи;Adeptus Art: Herald of Frost
talent_descr;qiqi_herald_of_frost;"<p>name{Ци Ци} использует талисман Ледяной крови для того, чтобы призвать Вестника стужи, и наносит cryo{Крио урон} окружающим врагам.</p><p>name{Вестник стужи:}<br>· Попадания name{Ци Ци} name{обычной} или name{заряженной атакой} восстанавливают определённое количество name{HP} членам отряда и ближайшим союзникам. Количество name{HP} зависит от name{силы атаки} name{Ци Ци};<br>· Регулярно восстанавливает name{HP} вашему персонажу;<br>· Следует за активным персонажем и наносит cryo{Крио урон} врагам, которых касается.</p><p><i>Я использую этот талисман, чтобы предотвратить нагревание и разложение... драгоценных ингредиентов господина Бая. Да.</i></p>";<p>Using the Icevein Talisman, name{Qiqi} brings forth the name{Herald of Frost}, dealing cryo{Cryo DMG} to surrounding opponents.</p><p>name{Herald of Frost}<br>·On hit, name{Qiqi}'s name{Normal} and name{Charged Attacks} regenerate name{HP} for your own party members and nearby teammates. Healing scales based on name{Qiqi}'s name{ATK}.<br>·Periodically regenerates your active character's name{HP}.<br>·Follows the character around, dealing cryo{Cryo DMG} to opponents in their path.</p><p><i>I use this to prevent warming and rot... of Dr. Bai's precious ingredients. Yes.</i></p>
talent_descr;qiqi_herald_of_frost_hex;<p>name{Ци Ци} использует талисман Ледяной крови для того, чтобы призвать Вестника стужи, и наносит cryo{Крио урон} окружающим врагам.</p><p>name{Вестник стужи:}<br>· Попадания name{Ци Ци} name{обычной} или name{заряженной атакой} восстанавливают определённое количество name{HP} членам отряда и ближайшим союзникам. Количество name{HP} зависит от name{силы атаки} name{Ци Ци}.<br>· Периодически восстанавливает name{HP} вашему активному персонажу.<br>· Следует за активным персонажем и наносит cryo{Крио урон} врагам на пути.<br>· Когда ваш активный персонаж поражает врага атакой, name{Вестник стужи} выполняет одну совместную атаку, нанося врагу cryo{Крио урон}.</p><p><br><i>«Я использую этот талисман, чтобы предотвратить нагревание и разложение... драгоценных ингредиентов господина Бая. Да».</i></p>;"<p>Using the Icevein Talisman, name{Qiqi} brings forth the name{Herald of Frost}, dealing cryo{Cryo DMG} to surrounding opponents.</p><p>name{Herald of Frost}<br>· On hit, name{Qiqi}'s name{Normal} and name{Charged Attacks} regenerate name{HP} for your own party members and nearby teammates, with healing scaled based on name{Qiqi}'s name{ATK}.<br>· Periodically regenerates your active character's name{HP}.<br>· Follows the character around, dealing cryo{Cryo DMG} to opponents in the character's path.<br>If your current active character hits an opponent with an attack, the name{Herald of Frost} will perform a coordinated attack on the opponent, dealing cryo{Cryo DMG}.</p><p><i>""I use this to prevent warming and rot... of Dr. Bai's precious ingredients. Yes.""</i></p>"
feature_burst;qiqi_stellar_conduct_dmg;Урон реакции Звёздный проводник;Stellar-Conduct DMG
talent_name;qiqi_preserver_of_fortune;Искусство Адепта: Хранитель Фортуны;Adeptus Art: Preserver of Fortune
talent_descr;qiqi_preserver_of_fortune;<p>name{Ци Ци} выпускает на волю запечатанную в её теле мощь Адептов, помечая ближайших врагов name{талисманом Фортуны}, который наносит им cryo{Крио урон}.</p><p>name{Талисман Фортуны}<br>Помеченные name{талисманом Фортуны} враги при получении урона восстанавливают name{HP} нанёсшего урон персонажа.</p><p><i>«Я хранитель Фортуны, бессмертный ребёнок»</i><br><i>Слова, давно позабытые name{Ци Ци}.</i></p>;"<p>name{Qiqi} releases the adeptus power sealed within her body, marking nearby opponents with a name{Fortune-Preserving Talisman} that deals cryo{Cryo DMG}.</p><p>name{Fortune-Preserving Talisman}<br>When opponents affected by this Talisman take DMG, the character that dealt this DMG regenerates name{HP}.</p><p><i>""I am the Fortune Preserver, the Maiden of Resurrection.""</i><br><i>— name{Qiqi} does not remember these words.</i></p>"
talent_descr;qiqi_preserver_of_fortune_hex;<p>name{Ци Ци} выпускает на волю запечатанную в её теле мощь Адептов, помечая ближайших врагов name{талисманом Фортуны}, который наносит им cryo{Крио урон}.<br>name{Сияние - Звёздный проводник}: дополнительно один раз наносит cryo{Крио урон}, который считается уроном реакции Звёздный проводник.</p><p>name{Талисман Фортуны}<br>Помеченные name{талисманом Фортуны} враги при получении урона восстанавливают name{HP} нанёсшего урон персонажа.</p><p><i>«Я хранитель Фортуны, бессмертный ребёнок»</i><br><i>Слова, давно позабытые name{Ци Ци}.</i></p>;"<p>name{Qiqi} releases the Adeptal power sealed within her body, marking nearby opponents with a name{Fortune-Preserving Talisman} that deals cryo{Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: Deals an additional instance of cryo{Cryo DMG} that is also considered Stellar-Conduct DMG.</p><p>name{Fortune-Preserving Talisman}<br>When opponents affected by this Talisman take DMG, the character that dealt this DMG regenerates name{HP}.</p><p><i>""I am the Fortune Preserver, the Maiden of Resurrection.""</i><br><i>— name{Qiqi} does not remember these words.</i></p>"
talent_name;qiqi_life_prolonging_methods;Долголетие;Life-Prolonging Methods
talent_descr;qiqi_life_prolonging_methods;<p>Когда персонаж, находящийся под эффектами навыка skill{skill:Искусство Адепта: Вестник стужи}, совершает элементальную реакцию, его name{бонус получаемого лечения} увеличивается на %{healing_recv} в течение 8 сек.</p>;<p>When a character under the effects of skill{skill:Adeptus Art: Herald of Frost} triggers an name{Elemental Reaction}, their name{Incoming Healing Bonus} is increased by %{healing_recv} for 8s.</p>
talent_name;qiqi_a_glimpse_into_arcanum;Созерцание тайн волшебства;A Glimpse Into Arcanum
talent_descr;qiqi_a_glimpse_into_arcanum;<p>При попадании name{обычной} и name{заряженной атакой} у name{Ци Ци} есть 50% шанс применить на них name{талисман Фортуны} на 6 сек. Может возникнуть раз в 30 сек.</p>;<p>When name{Qiqi} hits opponents with her name{Normal} and name{Charged Attacks}, she has a 50% chance to apply a name{Fortune-Preserving Talisman} to them for 6s. This effect can only occur once every 30s.</p>
talent_descr;qiqi_a_glimpse_into_arcanum_hex_1;<p>При попадании name{обычной} и name{заряженной атакой} по врагу у name{Ци Ци} есть 50% шанс наложить на него name{талисман Фортуны} на 6 сек. Эффект может возникнуть раз в 30 сек.</p>;<p>When name{Qiqi} hits opponents with her name{Normal} and name{Charged Attacks}, she has a 50% chance to apply a name{Fortune-Preserving Talisman} to them for 6s. This effect can only occur once every 30s.</p>
talent_descr;qiqi_a_glimpse_into_arcanum_hex_2;<p>skill{Сияние - Звёздный проводник}: шанс активации эффекта повышается до 100%, а его откат сокращается до 15 сек.</p>;<p>skill{Radiance: Stellar-Conduct}: The effect now has a 100% chance to trigger, and cooldown time is reduced to 15s.</p>
talent_name;qiqi_seven_sacred_treasures;Семь истинных сокровищ;Seven Sacred Treasures
talent_descr;qiqi_seven_sacred_treasures_1;<p>Откат name{элементального навыка} skill{skill:Искусство Адепта: Вестник стужи} сокращается до 15 сек.</p>;<p>The cooldown of the name{Elemental Skill} skill{skill:Adeptus Art: Herald of Frost} is reduced to 15s.</p>
