category;name;rus;eng
char_name;dehya;Дэхья;Dehya
talent_name;dehya_leonine_bite;Клыки львицы;Leonine Bite
talent_descr;dehya_leonine_bite;<p>name{Дэхья} высвобождает испепеляющую ярость, отбрасывает более не нужный меч и входит в состояние name{Пылающей львицы}, в котором её сопротивление прерыванию повышается.<br>В этом состоянии name{Дэхья} автоматически и непрерывно атакует Кулаками Пламенной Гривы, нанося pyro{Пиро урон}, который зависит от её name{силы атаки} и name{макс. HP}. После его окончания name{Дэхья} совершает name{Сжигающий удар}, который наносит pyro{Пиро урон по площади}, пропорциональный её name{силе атаки} и name{макс. HP}.<br>Если во время активации этого навыка существует name{Огненное узилище}, созданное name{элементальным навыком} Расплавленное пекло самой name{Дэхьи}, name{Дэхья} отзовёт его и по завершении состояния name{Пылающей львицы} создаст name{Огненное узилище} на новой позиции. Новое name{Огненное узилище} наследует длительность исходного name{Огненного узилища} на момент его отзыва.<br>В этом состоянии name{Дэхья} не может применять name{элементальный навык}, а также совершать обычные атаки, name{заряженные атаки} и name{атаки в падении}. Обычная атака name{Дэхьи} Нападение песчаной бури и name{элементальный навык} Расплавленное пекло заменяются Ревущим шквалом.</p><p>name{Ревущий шквал}<br>Если в течение 0,4 сек. после удара Кулаками Пламенной гривы использовать Ревущий шквал, то следующий удар Кулаками Пламенной гривы наносится быстрее.</p><p><i>Даже пламя, подчиняясь её воле, по приказу становится её когтями и клыками.</i></p>;"<p>Unleashing her burning anger and casting her inconvenient blade aside, name{Dehya} enters the name{Blazing Lioness} state and increases her resistance to interruption.<br>In this state, name{Dehya} will automatically and continuously unleash the Flame-Mane's Fists, dealing pyro{Pyro DMG} based on her name{ATK} and name{Max HP}, and when its duration ends, she will unleash an name{Incineration Drive}, dealing pyro{AoE Pyro DMG} based on her name{ATK} and name{Max HP}.<br>If a name{Fiery Sanctum} field created by name{Dehya}'s own name{Elemental Skill} ""Molten Inferno"" exists when this ability is unleashed, name{Dehya} will retrieve it, and then create another field once name{Blazing Lioness}'s duration expires. This field will take on the retrieved field's duration at the moment of its retrieval.<br>In this state, name{Dehya} will be unable to cast her name{Elemental Skill}, or perform name{Normal}, name{Charged}, and name{Plunging Attacks}. ""name{Normal Attack}: Sandstorm Assault"" and name{Elemental Skill} ""Molten Inferno"" will be replaced by ""Roaring Barrage.""</p><p>name{Roaring Barrage}<br>Unleashing Roaring Barrage within 0.4s after each name{Flame-Mane's Fist} strike will increase the speed at which the next name{Flame-Mane's Fist} strike will be triggered.</p><p><i>Even the flowing flames must obey her rage and at her command become her fangs and claws.</i></p>"
talent_name;dehya_sandstorm_assault;Нападение песчаной бури;Sandstorm Assault
talent_descr;dehya_sandstorm_assault;<p>name{Обычная атака:}<br>Наносит до четырёх ударов, используя двуручный меч и приёмы своего боевого искусства.</p><p>name{Заряженная атака:}<br>Комбо-атака, на которую непрерывно тратится выносливость.<br>После комбо-атаки проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes using her name{Claymore} and her martial arts.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous slashes.<br>At the end of the sequence, performs a more powerful slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;dehya_molten_inferno;Расплавленное пекло;Molten Inferno
talent_descr;dehya_molten_inferno;<p>name{Дэхья} применяет различные приёмы собственного боевого искусства в зависимости от ситуации на поле боя.</p><p>name{Непреклонное пламя}<br>Активируется name{Дэхьей}, если на поле боя нет созданного ей name{Огненного узилища}.<br>Наносит pyro{Пиро урон по площади} и создаёт область name{Огненного узилища}.</p><p>name{Сфера пламени}<br>Активируется name{Дэхьей}, если на поле боя существует name{Огненное узилище}, созданное ей самой.<br>name{Дэхья} выполняет атаку в прыжке, нанося pyro{Пиро урон по площади}, и создаёт name{Огненное узилище} на новой позиции.<br>Созданное таким образом новое name{Огненное узилище} наследует длительность исходного name{Огненного узилища}.</p><p>Во время существования одного name{Огненного узилища} Сфера пламени может использоваться только 1 раз.</p><p>name{Огненное узилище}<br>Когда враги в его области получают урон, name{Огненное узилище} совершает совместную атаку и наносит им pyro{Пиро урон по площади}, который зависит от name{силы атаки} и name{макс. HP} name{Дэхьи}. Эффект может возникнуть один раз в 2,5 сек.<br>Сопротивление прерыванию активных персонажей в его области повышается. Часть урона, получаемого такими персонажами, отводится и перетекает в Кровь алой гривы. name{Дэхья} принимает этот урон в течение 10 сек. Когда накопленный Кровью алой гривы урон достигнет определённого процента от name{макс. HP} name{Дэхьи} или превысит его, она перестанет отводить урон.</p><p>Одновременно может существовать только 1 name{Огненное узилище}, созданное самой name{Дэхьей}.</p><p><i>Пройди со мной испытание очищающего от скверны огня, подобно нисходящему в пламени зверю.</i></p>;<p>This art of name{Dehya}'s own invention changes its method of use depending on the combat situation.</p><p>name{Indomitable Flame}<br>This skill will be unleashed should there be no name{Fiery Sanctum} field created by name{Dehya} herself present at the time.<br>Deals pyro{AoE Pyro DMG}, and creates a field known as name{Fiery Sanctum}.</p><p>name{Ranging Flame}<br>This skill will be unleashed should a name{Fiery Sanctum} field created by name{Dehya} herself already exist.<br>name{Dehya} will perform a leaping attack, dealing pyro{AoE Pyro DMG} before recreating a name{Fiery Sanctum} field at her new position.<br>A name{Fiery Sanctum} field created this way will inherit the remaining duration of the previous field.</p><p>Ranging Flame can be used only once throughout a single name{Fiery Sanctum} field's duration.</p><p>name{Fiery Sanctum}<br>When an opponent within a name{Fiery Sanctum} field takes DMG, the field will unleash a coordinated attack, dealing pyro{AoE Pyro DMG} to them based on name{Dehya}'s name{ATK} and name{Max HP}. This effect can be triggered once every 2.5s.<br>Active characters within this field have their resistance to interruption increased, and when such characters take DMG, a portion of that damage will be mitigated and flow into name{Redmane's Blood}. name{Dehya} will then take this DMG over 10s. When the mitigated DMG stored by name{Redmane's Blood} reaches or goes over a certain percentage of name{Dehya}'s name{Max HP}, she will stop mitigating DMG in this way.</p><p>Only 1 name{Fiery Sanctum} created by name{Dehya} herself can exist at the same time.</p><p><i>Walk this fiery ordeal with me and purge all impurity, just as a beast of flames that must descend from the blaze.</i></p>
talent_name;dehya_unstinting_succor;Безмерная поддержка;Unstinting Succor
talent_descr;dehya_unstinting_succor;После того как name{Дэхья} посредством skill{skill:Сферы пламени Расплавленного пекла} или skill{burst:Клыков львицы} отзывает name{Огненное узилище}, получаемый name{Дэхьей} урон, если она принимает урон name{Крови алой гривы}, на 6 сек. снижается на 60%. Этот эффект может возникнуть один раз в 2 сек.<br>Кроме того, после активации skill{Непреклонного пламени Расплавленного пекла} name{Дэхья} наделяет всех персонажей отряда статусом Золотая форма на 9 сек. Сопротивление прерыванию персонажей со статусом Золотая форма в области name{Огненного узилища} увеличится. Этот статус может возникнуть один раз в 18 сек.;Within 6 seconds after name{Dehya} retrieves the name{Fiery Sanctum} field through skill{skill:Molten Inferno: Ranging Flame} or skill{burst:Leonine Bite}, she will take 60% less DMG when receiving DMG from name{Redmane's Blood}. This effect can be triggered once every 2s.<br>Additionally, within 9s after name{Dehya} unleashes skill{skill:Molten Inferno: Indomitable Flame}, she will grant all party members the name{Gold-Forged Form} state. This state will further increase a character's resistance to interruption when they are within the name{Fiery Sanctum} field. name{Gold-Forged Form} can be activated once every 18s.
talent_name;dehya_stalwart_and_true;Непоколебимая искренность;Stalwart and True
