category;name;rus;eng
char_name;traveler_cryo;Путешественница;Traveler
talent_name;traveler_foreign_frostglint;Чужеземный холодный блеск;Foreign Frostglint
talent_descr;traveler_foreign_frostglint;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;traveler_ice_crystal_dmg;Урон ледяного кристалла;Ice Crystal DMG
feature_skill;traveler_frostpierce_star_duration;Длительность Леденящей звезды;Frostpierce Star Duration
talent_name;traveler_ice_fog_piercer_1;Меч ледяного тумана;Ice Fog Piercer
talent_name;traveler_ice_fog_piercer_2;name{Леденящая звезда};name{Frostpierce Star}
talent_descr;traveler_ice_fog_piercer_1;"<p>Взмахивает оружием и наносит колющий удар вперёд, высвобождая леденящий туман и нанося cryo{Крио урон} противникам впереди, а также создаёт поблизости Леденящую звезду.</p><p>name{Леденящая звезда}<br>· Следует за активным персонажем вашего отряда и периодически выпускает ледяные кристаллы во врагов поблизости, нанося cryo{Крио урон}.<br>name{Сияние&nbsp;- Звёздный проводник}: Леденящая звезда больше не выпускает ледяные кристаллы периодически. Вместо этого она выпускает один ледяной кристалл, выполняя совместную атаку раз в 0,2 сек., когда name{обычная атака}, name{заряженная атака} или name{атака в падении} name{путешественника} поражает врага.<br>· Когда ледяной кристалл попадает в противника, name{путешественник} получает 1 уровень skill{n10050002:Морозного сияния}. Эффект может складываться до 8 раз.<br>· Вне боя name{Морозное сияние} снимается через 30 сек.</p><p><i>Вместе с Паймон вы наблюдали, как образуется изморозь.</i></p>";<p>Stabs at the opponent with the name{Traveler}'s weapon, which releases an ice-cold fog. This deals cryo{Cryo DMG} to opponents up ahead and forms a Frostpierce Star next to the name{Traveler}.</p><p>name{Frostpierce Star}<br>· Follows your own party members around the field and periodically fires ice crystals at nearby opponents, dealing cryo{Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: The Frostpierce Star will no longer fire ice crystals at opponents at intervals but will instead fire an ice crystal at opponents in a coordinated attack when the name{Traveler} hits an opponent with a name{Normal Attack}, name{Charged Attack}, or name{Plunging Attack}. This effect can trigger once every 0.2s.<br>· When an opponent is hit with an ice crystal, the name{Traveler} gains 1 stack of skill{n10050002:Frostglow} (max 8 stacks).<br>· When not in combat, name{Frostglow} expires after 30s.</p><p><i>You observed the formation of frost together with Paimon.</i></p>
talent_descr;traveler_ice_fog_piercer_2;"<p>· Следует за активным персонажем вашего отряда и периодически выпускает ледяные кристаллы во врагов поблизости, нанося cryo{Крио урон}.<br>name{Сияние&nbsp;- Звёздный проводник}: Леденящая звезда больше не выпускает ледяные кристаллы периодически. Вместо этого она выпускает один ледяной кристалл, выполняя совместную атаку раз в 0,2 сек., когда name{обычная атака}, name{заряженная атака} или name{атака в падении} name{путешественника} поражает врага.<br>· Когда ледяной кристалл попадает в противника, name{путешественник} получает 1 уровень skill{n10050002:Морозного сияния}. Эффект может складываться до 8 раз.<br>· Вне боя name{Морозное сияние} снимается через 30 сек.</p>";<p>· Follows your own party members around the field and periodically fires ice crystals at nearby opponents, dealing cryo{Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: The Frostpierce Star will no longer fire ice crystals at opponents at intervals but will instead fire an ice crystal at opponents in a coordinated attack when the name{Traveler} hits an opponent with a name{Normal Attack}, name{Charged Attack}, or name{Plunging Attack}. This effect can trigger once every 0.2s.<br>· When an opponent is hit with an ice crystal, the name{Traveler} gains 1 stack of skill{n10050002:Frostglow} (max 8 stacks).<br>· When not in combat, name{Frostglow} expires after 30s.</p>
feature_burst;traveler_ice_javelin_dmg;Урон ледяного копья;Ice Javelin DMG
feature_burst;traveler_frostglow_dmg_bonus;Повышение урона Морозного сияния;Frostglow DMG Bonus
feature_burst;traveler_stellar_conduct_ice_javelin_single_strike_dmg;Ледяное копьё: урон Звёздного проводника;Stellar-Conduct Ice Javelin Single Strike DMG
feature_burst;traveler_stellar_conduct_frostglow_dmg_bonus;Морозное сияние: повышение урона Звёздного проводника;Stellar-Conduct Frostglow DMG Bonus
feature_burst;traveler_stellar_swirl_ice_javelin_single_strike_dmg;Ледяное копьё: урон Звёздного рассеивания;Stellar Swirl Ice Javelin Single Strike DMG
feature_burst;traveler_stellar_swirl_frostglow_dmg_bonus;Морозное сияние: повышение урона Звёздного рассеивания;Stellar Swirl Frostglow DMG Bonus
feature_burst;traveler_no_of_strikes_in_attack;Количество атак;No. of Strikes in Attack
feature_burst;traveler_additional_frostglow_attack_strikes_at_stack_max;Дополнительные атаки при максимуме уровней Морозного сияния;Additional Frostglow Attack Strikes at Stack Max
talent_name;traveler_frostbound_javelin;Морозное копьё;Frostbound Javelin
talent_descr;traveler_frostbound_javelin;"<p>Силой Крио создаёт ледяное копьё и метает его в противников, многократно нанося cryo{Крио урон}.<br>При активации name{путешественник} расходует все имеющиеся уровни skill{n10050002:Морозного сияния}, повышая урон этого name{взрыва стихии}. При расходовании 8 уровней name{Морозного сияния} также увеличивается количество нанесений урона копьями.</p><p>skill{n11500004:Сияние&nbsp;- Звёздный блеск}: данный name{взрыв стихии} теперь наносит cryo{Крио урон}, который считается уроном соответствующих реакций Звёздного блеска.</p><p><i>Вы с Паймон почувствовали, как остры сосульки.</i></p>";<p>Generates an ice javelin with the power of Cryo, then directs it at enemies to deal multiple instances of cryo{Cryo DMG}.<br>When cast, the name{Traveler} consumes all existing stacks of name{Frostglow}, which in turn increases the DMG dealt by this name{Elemental Burst}. When 8 stacks of skill{n10050002:Frostglow} are consumed, the number of DMG instances caused by the javelins is also increased.</p><p>skill{n11500004:Radiance: Stellar Glimmer}: DMG from the current name{Elemental Burst} is changed to cryo{Cryo DMG} of the corresponding Stellar Glimmer reaction type.</p><p><i>You felt the keen edge of the icicles alongside Paimon.</i></p>
talent_name;traveler_ever_keen_frost;Вечно пронизывающий мороз;Ever-Keen Frost
talent_descr;traveler_ever_keen_frost;"<p>skill{Сияние&nbsp;- Звёздный проводник}: во время действия skill{Леденящей звезды} урон name{обычных атак}, name{заряженных атак} и name{атак в падении} name{путешественника} становится cryo{Крио} уроном, который не может быть отменён другими инфузиями. Кроме того, наносимый урон повышается на value{80%} от name{силы атаки} name{путешественника}.</p>";<p>skill{Radiance: Stellar-Conduct}: When a skill{Frostpierce Star} is on the field, DMG from the name{Traveler}'s name{Normal Attacks}, name{Charged Attacks}, and name{Plunging Attacks} are converted to cryo{Cryo DMG} that cannot be overridden by another elemental infusion, and DMG dealt is also increased by value{80%} of the name{Traveler}'s name{ATK}.</p>
talent_name;traveler_lucent_ice;Прозрачный лёд;Lucent Ice
talent_descr;traveler_lucent_ice;<p>name{Мастерство стихий} name{путешественника} повышается на value{8%} от его name{силы атаки}. Получаемое таким образом увеличение может составлять до value{160} ед.</p>;<p>The name{Traveler}'s name{Elemental Mastery} is increased by value{8%} of their name{ATK}. Up to value{160} name{Elemental Mastery} can be gained in this way.</p>
talent_name;traveler_illusory_frostmirror;Иллюзорное зеркало хлада;Stellar Jubilee: Illusory Frostmirror
talent_descr;traveler_illusory_frostmirror_1;<p>Когда name{путешественник} находится в skill{n11330003:Пределе путеводной звезды}, либо на 8 сек. после того как персонажи отряда поблизости активируют stcond{Звёздное рассеивание}, он входит в состояние skill{Сияние - Звёздный проводник} или skill{Сияние - Звёздное рассеивание} соответственно.<br>Когда персонажи отряда активируют реакции cryo{Сверхпроводник} или cryo{Крио рассеивание}, вместо них срабатывают stcond{Звёздный проводник} или stcond{Звёздное рассеивание}, а базовый урон этих реакций увеличивается на value{0,35%} за каждые value{100} ед. name{силы атаки} name{путешественника}. Максимальное увеличение урона, которое можно получить таким образом, составляет value{7%}.</p>;<p>The name{Traveler} will enter the skill{n11330003:Radiance: Stellar-Conduct} state when inside a skill{Polestar Field}, or the skill{Radiance: Stellar Swirl} state for 8s after a nearby party member triggers a stcond{Stellar Swirl} reaction.<br>When a party member triggers a cryo{Superconduct} or cryo{Cryo Swirl} reaction, it becomes a stcond{Stellar-Conduct} or stcond{Stellar Swirl} reaction instead, and the Base DMG of said reaction is also increased by value{0.35%} for every value{100} points of the name{Traveler}'s name{ATK}. A maximum value{7%} increase can be obtained in this way.</p>
talent_descr;traveler_illusory_frostmirror_2;<p>Когда персонажи отряда активируют реакции cryo{Сверхпроводник} или cryo{Крио рассеивание}, вместо них срабатывают stcond{Звёздный проводник} или stcond{Звёздное рассеивание}, а базовый урон этих реакций увеличивается на value{0,35%} за каждые value{100} ед. name{силы атаки} name{путешественника}. Максимальное увеличение урона, которое можно получить таким образом, составляет value{7%}.</p>;<p>When a party member triggers a cryo{Superconduct} or cryo{Cryo Swirl} reaction, it becomes a stcond{Stellar-Conduct} or stcond{Stellar Swirl} reaction instead, and the Base DMG of said reaction is also increased by value{0.35%} for every value{100} points of the name{Traveler}'s name{ATK}. A maximum value{7%} increase can be obtained in this way.</p>
talent_name;traveler_foreign_permafrost;Чужеземная наледь;Foreign Permafrost
