category;name;rus;eng
char_name;dori;Дори;Dori
talent_name;dori_marvelous_sword_dance_modified;Чарующий танец мечей (модифицированный);Marvelous Sword-Dance (Modified)
talent_descr;dori_marvelous_sword_dance_modified;<p>name{Обычная атака:}<br>До трёх ударов мечом.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;dori_troubleshooter_shot_dmg;Урон Устраняющего проблемы заряда;Troubleshooter Shot DMG
feature_skill;dori_after_sales_service_round_dmg;Урон Снаряда гарантийного обслуживания;After-Sales Service Round DMG
talent_name;dori_troubleshooter_cannon;Лампа усмирения духов: Устраняющая проблемы пушка;Spirit-Warding Lamp: Troubleshooter Cannon
talent_descr;dori_troubleshooter_cannon;<p>Направляет Лампу усмирения духов и выстреливает во врагов Устраняющим проблемы зарядом, нанося electro{Электро урон}.<br>При попадании Устраняющий проблемы заряд создаёт 2 Снаряда гарантийного обслуживания, которые самостоятельно находят цели поблизости и наносят electro{Электро урон}.</p><p><i>Говорят, name{Дори} решит любую проблему... если ей достаточно заплатить.</i></p>;<p>Directs a Spirit-Warding Lamp to fire off a Troubleshooter Shot at opponents, dealing electro{Electro DMG}.<br>After the Troubleshooter Shot hits, it will create 2 name{After-Sales Service Rounds} that will automatically track nearby opponents and deal electro{Electro DMG}.</p><p><i>It is said that name{Dori} can fix any problem for you... for the right price.</i></p>
feature_burst;dori_connector_dmg;Урон связи;Connector DMG
feature_burst;dori_energy_regeneration;Восстановление энергии;Energy Regeneration
talent_name;dori_alcazarzarays_exactitude;Дотошность Алькасар-сарая;Alcazarzaray's Exactitude
talent_descr;dori_alcazarzarays_exactitude;<p>Призывает джинна, который оказывает клиентам всевозможную помощь.</p><p>name{Джинн}<br>Устанавливает связь с персонажем поблизости:<br>· Восстанавливает его name{HP} пропорционально name{макс. HP} name{Дори}.<br>· Регенерирует его энергию.<br>· Имеет статус electro{Электро}.</p><p>Кроме того, когда связь между name{джинном} и персонажем касается противника, она каждые 0,4 сек. наносит ему однократный electro{Электро урон}.</p><p>Одновременно может существовать только один name{джинн}.</p><p><i>«Вы выбрали эту лампу, хм? Ой, у вас замечательный вкус! Вот только лампа эта - бесценное сокровище. Разве продали бы вы, например, свой талисман, сколько бы моры за него ни предложили?»</i></p>;"<p>Summons forth the name{Jinni} within the lamp to give the client various kinds of aid.</p><p>name{Jinni}<br>Connects to a nearby character. The connected character will:<br>· Continuously restore name{HP} based on name{Dori}'s name{Max HP}.<br>· Continuously regenerate name{Energy}.<br>· Be affected by electro{Electro}.<br>When the connector between the name{Jinni} and the character touches opponents, it will deal one instance of electro{Electro DMG} to them every 0.4s.</p><p>Only one name{Jinni} can exist at one time.</p><p><i>""Hmm? You'll pick this lamp, will you? Oh my, you've got good taste! Unfortunately, there's no price on this treasure — comparable, I'd say, to how you will not sell that mascot by your side for any price in the world.""</i></p>"
talent_name;dori_an_eye_for_gold;Золото в песках;An Eye for Gold
talent_descr;dori_an_eye_for_gold;После того как персонаж, у которого установлена связь с skill{burst:джинном}, вызывает реакции electro{Заряжен}, electro{Лунный заряд}, cryo{Сверхпроводник}, pyro{Перегрузка}, dendro{Стимуляция}, electro{Обострение}, dendro{Вегетация}, electro{Электро Рассеивание} или electro{Электро Кристалл}, откат навыка skill{Лампа усмирения духов: Устраняющая проблемы пушка} уменьшается на 1 сек.<br>Эффект может возникнуть раз в 3 сек.;After a character connected to the skill{burst:Jinni} triggers an electro{Electro-Charged}, electro{Lunar-Charged}, cryo{Superconduct}, pyro{Overloaded}, dendro{Quicken}, electro{Aggravate}, dendro{Hyperbloom}, electro{Electro Swirl}, or electro{Electro Crystallize} reaction, the name{CD} of skill{skill:Spirit-Warding Lamp: Troubleshooter Cannon} is decreased by 1s.<br>This effect can be triggered once every 3s.
talent_name;dori_compound_interest;Сложные проценты;Compound Interest
talent_descr;dori_compound_interest;Попадания name{Устраняющих проблемы зарядов} и name{Снарядов гарантийного обслуживания} навыка skill{Лампа усмирения духов: Устраняющая проблемы пушка} восстанавливают value{5} name{ед. энергии} name{Дори} за каждые 100% от её значения name{восстановления энергии}.<br>Каждая активация навыка Лампа усмирения духов: Устраняющая проблемы пушка может восстановить энергию таким способом только один раз. Восстанавливает до value{15} name{ед. энергии}.;When the name{Troubleshooter Shots} or name{After-Sales Service Rounds} from skill{skill:Spirit-Warding Lamp: Troubleshooter Cannon} hit opponents, name{Dori} will restore value{5} name{Elemental Energy} for every 100% name{Energy Recharge} possessed.<br>Per name{Spirit-Warding Lamp: Troubleshooter Cannon}, only one instance of name{Energy} restoration can be triggered and a maximum of value{15} name{Energy} can be restored this way.
talent_name;dori_additional_investment;Дополнительные вложения;Additional Investment
talent_descr;dori_additional_investment;Увеличивает количество name{Снарядов гарантийного обслуживания}, создаваемых skill{skill:Устраняющими проблемы зарядами}, на 1.;The number of name{After-Sales Service Rounds} created by skill{skill:Troubleshooter Shots} is increased by 1.
