category;name;rus;eng
char_name;ifa;Ифа;Ifa
talent_name;ifa_rite_of_dispelling_winds;Ритуал изгнания ветров;Rite of Dispelling Winds
talent_descr;ifa_rite_of_dispelling_winds;<p>name{Обычная атака:}<br>До трёх атак, наносящих anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Выстрел вперёд, наносящий anemo{Анемо урон по площади}, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and fires off a shot, dealing anemo{AoE Anemo DMG}.</p><p>name{Plunging Attack}<br>Plunges towards the ground from mid-air, damaging all opponents along the path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
feature_skill;ifa_tonicshot_dmg;Урон Лекарственного выстрела;Tonicshot DMG
feature_skill;ifa_tonicshot_healing_on_hit;Лечение Лекарственного выстрела при попадании;Tonicshot Healing On Hit
talent_name;ifa_airborne_disease_prevention;Профилактика воздушно-капельных инфекций;Airborne Disease Prevention
talent_descr;ifa_airborne_disease_prevention;<p>Настало время настоящих боевых кентов! name{Ифа} призывает на подмогу Какуку.<br>После применения этого навыка name{Ифа} получает 80 очков name{Ночного духа} и входит в состояние skill{n11130003:Благословения Ночного духа}. В состоянии name{Благословения Ночного духа} name{Ифа} с помощью Какуку парит в воздухе. При выполнении name{обычной атаки}, в зависимости от того, было использовано быстрое или долгое нажатие, разными способами активируется skill{n11130001:Огневая поддержка} и выпускаются восстанавливающие name{HP} всех членов отряда Лекарственные выстрелы.</p><p>Кроме того, если удерживать name{элементальный навык} name{Профилактика воздушно-капельных инфекций}, когда name{Ифа} пребывает в состоянии name{Благословения Ночного духа}, то он будет использовать name{атаку в падении} с характеристикой name{Ночного духа}. Если отпустить кнопку name{элементального навыка}, name{атака в падении} прервётся и name{Ифа} останется в воздухе. Если name{Ифа}, выполняя name{атаку в падении}, приземлится, то его состояние name{Благословения Ночного духа} завершится.</p>;<p>It's time for the real bash bros to step up! name{Ifa} calls Cacucu in as backup.<br>After using this skill, name{Ifa} gains 80 name{Nightsoul points} and enters the skill{n11130003:Nightsoul's Blessing} state. In the name{Nightsoul's Blessing} state, name{Ifa} will hover with Cacucu's help. When he uses name{Normal Attacks} in this state, he will use different kinds of skill{n11130001:Supporting Fire} depending on whether you Tap or Hold, firing Tonicshots that are capable of healing all party members.</p><p>Additionally, Holding the name{Elemental Skill} name{Airborne Disease Prevention} while name{Ifa} is in name{Nightsoul's Blessing} will cause him to use a Nightsoul-aligned name{Plunging Attack}. Letting go of the skill button will interrupt this name{Plunging Attack} to maintain his hover. If name{Ifa} lands due to this name{Plunging Attack}, his name{Nightsoul's Blessing} state will end.</p>
feature_burst;ifa_sedation_mark_dmg;Урон Седативной метки;Sedation Mark DMG
talent_name;ifa_compound_sedation_field;Составное поле успокоения;Compound Sedation Field
talent_descr;ifa_compound_sedation_field;<p>Выпускает во (временно агрессивного) врага Лечебное успокоительное. При попадании оно взрывается, создаёт сковывающий ветряной поток, который притягивает предметы и врагов поблизости, и наносит anemo{Анемо урон по площади} с характеристикой name{Ночного духа}.<br>При попадании по противникам под воздействием эффектов hydro{Гидро}/pyro{Пиро}/cryo{Крио}/electro{Электро} Лечебное успокоительное накладывает на них skill{n11130004:Седативную метку}.</p>;<p>Fires a Therapeutic Sedative at a (temporarily aggressive) opponent. The sedative will explode on impact, creating a restraining wind current that pulls nearby objects and opponents in while dealing Nightsoul-aligned anemo{AoE Anemo DMG}.<br>When the Therapeutic Sedative hits an opponent affected by hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, it will apply a skill{n11130004:Sedation Mark} to them.</p>
talent_name;ifa_field_medics_vision;Видение полевого врача;Field Medic's Vision
talent_descr;ifa_field_medics_vision;Когда name{Ифа} находится в состоянии name{Благословения Ночного духа}, за каждое очко name{Ночного духа} от их текущего общего количества в отряде он получает 1 очко skill{n11130002:Основ спасения}. name{Основы спасения} повышают урон реакций anemo{Рассеивание}, electro{Заряжен} и electro{Лунный заряд}, вызываемых членами отряда поблизости.;When name{Ifa} is in the name{Nightsoul's Blessing} state, every 1 name{Nightsoul point} out of the total in his entire party will grant him 1 skill{n11130002:Rescue Essentials} point. name{Rescue Essentials} will increase the anemo{Swirl}, electro{Electro-Charged}, and electro{Lunar-Charged} DMG dealt by nearby party members.
talent_name;ifa_mutual_aid_agreement;Договор о взаимопомощи;Mutual Aid Agreement
talent_descr;ifa_mutual_aid_agreement;Когда члены отряда поблизости активируют name{Вспышку Ночного духа}, name{мастерство стихий} name{Ифы} повышается на %{mastery} ед. на 10 сек.;When nearby party members trigger name{Nightsoul Bursts}, name{Ifa}'s name{Elemental Mastery} increases by %{mastery} for 10s.
talent_name;ifa_vitiferous_elixirs_concoction;Отваривание ползучего эликсира;Vitiferous Elixir's Concoction
talent_descr;ifa_vitiferous_elixirs_concoction;Попадание skill{n11130001:Огневой поддержки} по противнику восстанавливает 6 name{ед. энергии} name{Ифы}. Восстанавливать энергию таким образом можно 1 раз в 8 сек.;When skill{n11130001:Supporting Fire} hits an opponent, it will restore 6 name{Energy} for name{Ifa}. One such name{Energy} restoration can be triggered once every 8s.
talent_name;ifa_guiding_spirit_of_ballistic_prayer;Путеводный дух баллистической молитвы;Guiding Spirit of Ballistic Prayer
