category;name;rus;eng
char_name;dahlia;Далия;Dahlia
talent_name;dahlia_radiant_psalter;Сияющий молебен;Radiant Psalter
talent_descr;dahlia_radiant_psalter;<p>Благочестивыми помыслами и песнью взывая к небесам, наносит врагам поблизости hydro{Гидро урон по площади}, наделяет членов своего отряда Милостью Фавония и призывает Щит священной милости.<br>Поглощение урона Щитом священной милости зависит от макс. HP Далии. Щит поглощает hydro{Гидро урон} с эффективностью 250%.</p><p>name{Милость Фавония}<br>Во время её действия Далия может потратить 1 уровень Бенедикции и призвать новый Щит священной милости, если имевшийся был разрушен уроном.</p><p>Далия может получать Бенедикцию следующими способами:<br>· Когда активный персонаж его отряда поражает врагов обычной атакой 4 раза, находясь под воздействием Милости Фавония, Далия получает 1 уровень Бенедикции.<br>· После активации эффекта таланта возвышения Милостивое благоволение ветра (требуется разблокировать данный талант возвышения).<br>Во время действия одной и той же Милости Фавония Далия может получить до 4 уровней Бенедикции.</p>;"<p>Appeals to the divine with earnestness and song, dealing hydro{AoE Hydro DMG} to nearby opponents and granting his party members Favonian Favor, summoning a Shield of Sacred Favor.<br>The Shield of Sacred Favor's DMG absorption is based on Dahlia's Max HP, and it will absorb hydro{Hydro DMG} with 250% effectiveness.</p><p>name{Favonian Favor}<br>While this effect is active, 1 Benison stack may be consumed to summon a new Shield of Sacred Favor when an existing Shield is broken via DMG.</p><p>Dahlia can obtain Benison via the following methods:<br>· He will gain 1 Benison stack when his own active party member hits opponents 4 times with Normal Attacks while affected by Favonian Favor.<br>· After triggering the effect of his Ascension Talent, ""The Wind's Gentle Grace"" (You must first unlock this Ascension Talent.)<br>Dahlia can gain a maximum of 4 Benison stacks per Favonian Favor duration.</p>"
talent_name;dahlia_favonius_bladework_ritual;Фехтовальный стиль Фавония: Ритуал;Favonius Bladework - Ritual
talent_descr;dahlia_favonius_bladework_ritual;<p>name{Обычная атака:}<br>До четырёх быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом перед собой.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;dahlia_immersive_ordinance;Таинство погружения;Immersive Ordinance
talent_descr;dahlia_immersive_ordinance;<p>Настало время для весёлого трюка! В зависимости от того, было совершено быстрое или долгое нажатие навыка, разными способами призывается Сакраментальный ливень.</p><p>name{Быстрое нажатие:}<br>После короткой молитвы призывает перед собой Сакраментальный ливень.</p><p>name{Долгое нажатие:}<br>Непрерывно читает молитву, а когда заканчивает, призывает Сакраментальный ливень на указанной позиции.</p><p>name{Сакраментальный ливень}<br>После того как враги или члены отряда поблизости соприкасаются с Сакраментальным ливнем, в зависимости от того, кто прикоснулся к нему, возникают разные эффекты:<br>Если к Сакраментальному ливню прикоснулся враг, он взрывается и наносит hydro{Гидро урон по площади} врагам поблизости.<br>Если к нему прикоснётся персонаж отряда поблизости, он вознесёт его высоко в воздух.</p><p>На поле может существовать только один Сакраментальный ливень, призванный самим Далией.</p>;<p>Time for a fun little trick! Summons the Sacramental Shower in different ways depending on whether you Tap or Hold it.</p><p>name{Tap}<br>After a short prayer, summons the Sacramental Shower in front.</p><p>name{Hold}<br>Engages in continuous prayer, and when done, summons forth a Sacramental Shower in the designated position.</p><p>name{Sacramental Shower}<br>When opponents or nearby party members touch the Sacramental Shower, different effects will occur depending on the one who touches it:<br>If an opponent touches the Shower, it will explode and deal hydro{AoE Hydro DMG} to nearby opponents.<br>If a nearby party member touches it, it will bounce the one who touches it high in the air.</p><p>Only 1 Sacramental Shower summoned by Dahlia himself can be on the field at once.</p>
talent_name;dahlia_the_winds_gentle_grace;Милостивое благоволение ветра;The Wind's Gentle Grace
talent_descr;dahlia_the_winds_gentle_grace;Когда персонажи под воздействием name{Милости Фавония} name{взрыва стихии} skill{burst:Сияющий молебен} активируют на противнике реакцию cryo{Заморозка}, они наделяют name{Далию} 2 уровнями name{Бенедикции}. Этот эффект может возникнуть один раз в 8 сек.;When characters affected by the name{Favonian Favor} effect of the name{Elemental Burst} skill{burst:Radiant Psalter} trigger cryo{Frozen} reactions on opponents, they will grant name{Dahlia} 2 name{Benison} stacks. This effect can trigger once every 8s.
talent_name;dahlia_prayer_of_well_wrought_joy;Молитва искушённой радости;Prayer of Well-Wrought Joy
