category;name;rus;eng
char_name;chevreuse;Шеврёз;Chevreuse
talent_name;chevreuse_line_bayonet_thrust_ex;Модифицированный ряд штыков;Line Bayonet Thrust EX
talent_descr;chevreuse_line_bayonet_thrust_ex;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;chevreuse_overcharge_dmg;Урон Перегруженного заряда;Overcharged Ball DMG
feature_skill;chevreuse_heal_interval;Длительность лечения;Healing Duration
talent_name;chevreuse_short_range_rapid_interdiction_fire;Быстрый преграждающий выстрел вблизи;Short-Range Rapid Interdiction Fire
talent_descr;chevreuse_short_range_rapid_interdiction_fire;"<p>name{Шеврёз} быстро вскидывает мушкет к плечу и стреляет в противника, нанося pyro{Пиро урон по площади}.<br>В течение некоторого времени после выстрела name{Шеврёз} периодически восстанавливает name{HP} вашего активного персонажа пропорционально собственному name{макс. HP}.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания и фиксирует одну цель, чтобы совершить точный преграждающий выстрел. Если у name{Шеврёз} есть Перегруженный заряд, она выстрелит им и нанесёт повышенный pyro{Пиро урон} по большей площади.<br>Каждый раз, когда член отряда поблизости вызывает реакцию Перегрузка, name{Шеврёз} получает 1 Перегруженный заряд. Одновременно можно иметь не более 1 Перегруженного заряда.</p><p><br>name{Архэ: Усия}<br>После попадания навыка name{Быстрый преграждающий выстрел вблизи} name{Шеврёз} периодически призывает Клинок бурных вод, который наносит pyro{Пиро урон} усии.</p><p><i>«Вообще-то в обучающей инструкции есть только термин ""преграждающий выстрел"", но по мнению героя этого романа стильная терминология повышает боевой дух и ставит противника в проигрышное положение ещё на старте... Мне это показалось разумным, и я изменила инструкцию!»</i></p>";"<p>name{Chevreuse} quickly shoulders her musket and fires at her opponent(s), dealing pyro{AoE Pyro DMG}.<br>For a short duration after name{Chevreuse} fires a shot, she will continuously restore name{HP} to your active character on the field. The amount healed is based on her name{Max HP}.<br>Hold to fire in a different fashion.</p><p>name{Hold}<br>Enter Aiming Mode, locking a target in her sights to fire a precise interdiction shot. If name{Chevreuse} has an name{Overcharged Ball}, then she will fire the name{Overcharged Ball} instead, dealing greater pyro{Pyro DMG} in a larger area.<br>name{Chevreuse} gains 1 name{Overcharged Ball} every time a nearby character in the party triggers an Overloaded reaction, and can have up to 1 name{Overcharged Ball} at a time.</p><p>name{Arkhe: Ousia}<br>Periodically, after name{Chevreuse}'s name{Short-Range Rapid Interdiction Fire} hits, a Surging Blade will be called forth that deals Ousia-aligned pyro{Pyro DMG}.</p><p><i>""Actually, training regulations only had the phrase ""interdiction fire,"" but the protagonist of this novel believes that even how stylish your terminology is can affect how motivated your troops are, which can put your opponents on the back foot right from the get-go... I think that's a good point, so I changed the regulations!""</i></p>"
feature_burst;chevreuse_explosive_grenade_dmg;Урон разрывной гранаты;Explosive Grenade DMG
feature_burst;chevreuse_secondary_explosive_dmg;Урон мелкого разрывного заряда;Secondary Explosive Shell DMG
talent_name;chevreuse_ring_of_bursting_grenades;Кольцо разрывных гранат;Ring of Bursting Grenades
talent_descr;chevreuse_ring_of_bursting_grenades;<p>name{Шеврёз} выстреливает во врагов разрывной гранатой и наносит pyro{Пиро урон по площади}. После попадания граната разделяется на множество вторичных разрывных снарядов.<br>Через короткий промежуток времени разрывные снаряды взрываются, нанося pyro{Пиро урон} врагам поблизости.</p><p><i>«По идее, для уничтожения вражеских формаций наиболее эффективен обстрел по прямоугольной площади. К сожалению, поперечное сечение взрывной волны, как и у большинства тортов, это окружность. Поэтому вторичные снаряды, разлетаясь, могут распределяться только как фрукты по краю торта, а именно по кругу».</i></p>;"<p>name{Chevreuse} fires an explosive grenade at opponents with her musket, dealing pyro{AoE Pyro DMG.} After the projectile hits, it will split into many secondary explosive shells.<br>The secondary explosive shells will burst after a short interval, dealing pyro{Pyro DMG} to nearby opponents.</p><p><i>""Theoretically, a rectangular blast would be most efficient at destroying enemy formations. Unfortunately, the cross-section of an explosive shock wave is round, like most cakes. So, the secondary explosive shells can only be arranged like the fruit on a cake, forming a ring around the edge.""</i></p>"
