category;name;rus;eng
char_name;jahoda;Ягода;Jahoda
talent_name;jahoda_strike_while_the_arrows_hot;Стреляй пока горячо;Strike While the Arrow's Hot
talent_descr;jahoda_strike_while_the_arrows_hot;<p>name{Обычная атака:}<br>До трёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на наконечнике стрелы собирается могучий ветер. Полностью заряженная мощью ветра стрела наносит anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе и стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased name{DMG}.<br>While aiming, mighty winds will accumulate on the arrowhead. A fully charged wind arrow will deal anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, hitting opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;jahoda_smoke_bomb_dmg;Урон дымовой бомбы;Smoke Bomb DMG
feature_skill;jahoda_unfilled_treasure_flask_dmg;Урон неполной Секретной фляжки;Unfilled Treasure Flask DMG
feature_skill;jahoda_filled_treasure_flask_dmg;Урон полной Секретной фляжки;Filled Treasure Flask DMG
feature_skill;jahoda_treasure_flask_duration;Длительность Секретной фляжки;Treasure Flask Duration
feature_skill;jahoda_meowball_dmg;Урон котошарика;Meowball DMG
talent_name;jahoda_splitting_the_spoils;Хитроумный план: Раздел добычи;Savvy Strategy: Splitting the Spoils
talent_descr;jahoda_splitting_the_spoils;<p>name{Ягода} совершает рывок по направлению к противнику и при соприкосновении с ним входит в состояние Преследующей тени. В этом состоянии name{Ягода} постоянно перемещается на высокой скорости. Если поблизости есть враги с эффектами pyro{Пиро}, hydro{Гидро}, electro{Электро} или cryo{Крио}, name{Ягода} украдкой настраивает свою skill{n11240001:Секретную буль-буль-фляжку} на этот элемент и постепенно наполняет её. Когда время действия навыка завершается или он активируется повторно, name{Ягода} опустошает name{Секретную буль-буль-фляжку} и один раз наносит anemo{Анемо урон} врагам поблизости. Когда name{Секретная буль-буль-фляжка} становится полной, name{Ягода} также опустошает name{её}, покидает состояние Преследующей тени и один раз наносит повышенный anemo{Анемо урон} врагам поблизости.<br>Если во время рывка name{Ягода} не входит в контакт с врагом, то она выбрасывает дымовую бомбу на исходной позиции, один раз нанося anemo{Анемо урон} врагам поблизости.</p><p>name{Лунное знамение - Высшее сияние}: когда name{Секретная буль-буль-фляжка} становится полной, name{Ягода} не опустошает name{её} сразу. Вместо этого она в течение некоторого времени постепенно расходует припасённую во фляжке энергию и периодически выпускает во врагов поблизости name{Пушистые котошарики}, которые наносят урон элемента name{Секретной буль-буль-фляжки}. Когда name{Пушистый котошарик} поражает врага, name{Ягода} восстанавливает 2 name{ед. энергии}. Этот эффект может возникнуть один раз в 3,5 сек.</p><p><i>В мире существует много способов перераспределять богатство, однако для охотников за сокровищами и Похитителей сокровищ Нод-Края существует лишь один, который признали по-настоящему эффективным.</i></p>;<p>name{Jahoda} dashes toward her opponent, entering the name{Shadow Pursuit} state upon contact. While in this state, name{Jahoda} moves continuously and swiftly: If nearby opponents are affected by pyro{Pyro}, hydro{Hydro}, electro{Electro}, or cryo{Cryo}, she will quietly convert her skill{n11240001:Purr-loined Treasure Flask} to that element, gradually filling it. When the duration ends or the skill is used again, name{Jahoda} drains the name{Purr-loined Treasure Flask} and deals a single instance of anemo{Anemo DMG} to nearby opponents. When the name{Purr-loined Treasure Flask} is full, name{Jahoda} immediately drains it, exiting the name{Shadow Pursuit} state and dealing a more powerful instance of anemo{Anemo DMG}.<br>If her dash fails to make contact with an opponent, name{Jahoda} instead drops a Smoke Bomb at her location, dealing a single instance of anemo{Anemo DMG} to nearby opponents.</p><p>name{Moonsign: Ascendant Gleam}: When the name{Purr-loined Treasure Flask} becomes full, name{Jahoda} will not immediately discharge it. Instead, for a short duration, she steadily consumes the stored element inside and periodically fires name{Fluffy Meowballs} at nearby opponents, dealing name{DMG} of the corresponding element stored in the name{Purr-loined Treasure Flask}. When a name{Fluffy Meowball} hits an opponent, name{Jahoda} regenerates 2 name{Elemental Energy}. This effect can be triggered once every 3.5s.</p><p><i>There are many ways to divide wealth in this world — but for Nod-Krai's treasure hunters — and hoarders — only one has ever proven sufficiently effective.</i></p>
