category;name;rus;eng
char_name;chiori;Тиори;Chiori
talent_name;chiori_twin_blades;Хиёку: Парные клинки;Hiyoku: Twin Blades
talent_descr;chiori_twin_blades;<p>Обнажив парные клинки, name{Тиори} режет с мастерством искусного портного, нанося geo{Гео урон по площади}, пропорциональный её name{силе атаки} и защите.</p><p><i>«Освой один принцип, и перед тобой откроются все пути».</i></p>;"<p>Twin blades leave their sheaths as name{Chiori} slices with the clean cuts of a master tailor, dealing geo{AoE Geo DMG} based on her name{ATK} and name{DEF}.</p><p><i>""Master one principle, and the path to all others shall open to you.""</i></p>"
talent_name;chiori_weaving_blade;Ткущий клинок;Weaving Blade
talent_descr;chiori_weaving_blade;<p>name{Обычная атака:}<br>До четырёх быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;chiori_fluttering_hasode;Порхание хасодэ;Fluttering Hasode
talent_descr;chiori_fluttering_hasode;<p>С лёгкостью развевающихся шелков совершает выпад вперёд, по окончании которого призывает рядом с собой куклу-автоматона name{Тамото} и выполняет восходящий удар, нанося противникам поблизости geo{Гео урон по площади}, пропорциональный name{силе атаки} и защите name{Тиори}.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление рывка.</p><p>name{Тамото}<br>· Периодически атакует врагов поблизости, нанося geo{Гео урон по площади}, пропорциональный name{силе атаки} и защите name{Тиори}.<br>· Пока она активна, если поблизости существует или создаётся geo{Гео конструкция}, то рядом с вашим активным персонажем призывается ещё одна name{Тамото}. Таким образом можно призвать только 1 дополнительную куклу-автоматона name{Тамото}, причём время её существования рассчитывается отдельно.</p><p><i>«Сакуры цветы<br>Покрывают рукава,<br>Пьянит аромат».</i></p>;"<p>Dashes nimbly forward with silken steps. Once this dash ends, name{Chiori} will summon the automaton doll ""name{Tamoto}"" beside her and sweep her blade upward, dealing geo{AoE Geo DMG} to nearby opponents based on her name{ATK} and name{DEF}.<br>Holding the Skill will cause it to behave differently.</p><p>name{Hold}<br>Enter Aiming Mode to adjust the dash direction.</p><p>name{Tamoto}<br>· Will slash at nearby opponents at intervals, dealing geo{AoE Geo DMG} based on name{Chiori}'s name{ATK} and name{DEF}.<br>· While active, if there are nearby geo{Geo Construct(s)} or geo{Geo Construct(s)} are created nearby, an additional name{Tamoto} will be summoned next to your active character. Only 1 additional name{Tamoto} can be summoned in this manner, and its duration is independently counted.</p><p><i>""Sakura red dyes the brocade, the fragrance suffuses the sleeves, the orioles intoxicated.""</i></p>"
talent_name;chiori_tailor_made;Сшито на заказ;Tailor-Made
talent_descr;chiori_tailor_made_1; В зависимости от действия, которое вы совершаете в короткий промежуток времени после восходящего удара навыка skill{skill:Порхание хасодэ}, возникают разные эффекты: нажатие кнопки name{элементального навыка} активирует name{Узорную ткань}, тогда как name{обычная атака} активирует name{Покрой}. <br>Если name{Тиори}, будучи активным персонажем, в течение короткого промежутка времени после выполнения восходящего удара name{Порхания хасодэ} не использует name{элементальный навык} или name{обычную атаку}, то активируется эффект name{Покроя}.; Gain different effects depending on the next action you take within a short duration after using skill{skill:Fluttering Hasode}'s upward sweep. If you Press the name{Elemental Skill}, you will trigger the name{Tapestry} effect. If you Press your name{Normal Attack}, the name{Tailoring} effect will be triggered instead. <br>When on the field, if name{Chiori} does not either Press her name{Elemental Skill} or use a name{Normal Attack} within a short time after using name{Fluttering Hasode}'s upward sweep, the name{Tailoring} effect will be triggered by default.
talent_descr;chiori_tailor_made_2; · Следующий персонаж вашего отряда становится активным.<br>· Все персонажи вашего отряда получают эффект name{Поймав мгновение}: при попадании name{обычной атаки}, name{заряженной атаки} или name{атаки в падении} вашего активного персонажа по противнику поблизости кукла-автоматон name{Тамото} инициирует совместную атаку, которая на позиции поражённого противника наносит geo{Гео урон} по площади, равный %{text_percent_dmg} урона восходящего удара навыка Порхание хасодэ. Этот урон считается уроном name{элементального навыка}.<br>· Эффект name{Поймав мгновение} действует 8 сек. Кукла-автоматон может инициировать 1 совместную атаку раз в 2 сек., причём во время действия одного и того же эффекта name{Поймав мгновение} может быть выполнено до 2 совместных атак.;" · Switches to the next character in your roster.<br>· Grants all your party members ""name{Seize the Moment}"": When your active party member's name{Normal Attacks}, name{Charged Attacks}, and name{Plunging Attacks} hit a nearby opponent, ""name{Tamoto}"" will execute a coordinated attack, dealing %{text_percent_dmg} of name{Fluttering Hasode}'s upward sweep DMG as AoE geo{Geo DMG} at the opponent's location. DMG dealt this way is considered name{Elemental Skill DMG}.<br>· ""name{Seize the Moment}"" lasts 8s, and 1 of ""name{Tamoto}""'s coordinated attack can be unleashed every 2s. 2 such coordinated attacks can occur per ""name{Seize the Moment}"" effect duration."
talent_descr;chiori_tailor_made_3; · name{Тиори} на 5 сек. получает инфузию geo{Гео}.; · name{Chiori} gains geo{Geo} infusion for 5s.
talent_name;chiori_the_finishing_touch;Украшенная парча;The Finishing Touch
talent_descr;chiori_the_finishing_touch;Когда член отряда поблизости создаёт geo{Гео} конструкцию, name{Тиори} на 20 сек. получает %{dmg_geo} бонус geo{Гео урона}.;When a nearby party member creates a geo{Geo} Construct, name{Chiori} will gain %{dmg_geo} geo{Geo DMG Bonus} for 20s.
talent_name;chiori_six_paths_of_sage_silkcraft;Шесть знаний шёлка;Six Paths of Sage Silkcraft
talent_descr;chiori_six_paths_of_sage_silkcraft;Область атак куклы-автоматона name{Тамото} навыка skill{skill:Порхание хасодэ} увеличивается на 50%.<br>Кроме того, если в отряде есть персонажи geo{Гео} помимо name{Тиори}, после завершения выпада name{Порхания хасодэ} активируются следующие эффекты:<br>· Призывает ещё одну name{Тамото}. Одновременно может существовать только 1 дополнительная кукла-автоматон name{Тамото}, призванная name{Тиори} этим способом либо с помощью geo{Гео} конструкции.<br>· Активирует талант возвышения name{Украшенная парча}. Требуется разблокировать талант возвышения name{Украшенная парча}.;"The AoE of the automaton doll ""name{Tamoto}"" summoned by skill{skill:Fluttering Hasode} is increased by 50%.<br>Additionally, if there is a geo{Geo} party member other than name{Chiori}, name{Fluttering Hasode} will trigger the following after the dash is completed:<br>· Summon an additional name{Tamoto}. Only one additional name{Tamoto} can exist at the same time, whether summoned by name{Chiori} this way or through the presence of a geo{Geo} Construct.<br>· Triggers the Ascension Talent ""name{The Finishing Touch}."" You must first unlock the Ascension Talent ""name{The Finishing Touch}."""
talent_name;chiori_in_five_colors_dyed;Пять цветов ткани;In Five Colors Dyed
talent_descr;chiori_in_five_colors_dyed;В течение 10 сек. после применения навыка skill{burst:Хиёку: Парные клинки} раз в 3 сек. рядом с вашим активным персонажем будет призываться простая кукла-автоматон name{Кину}. Простая кукла-автоматон name{Кину} будет атаковать врагов поблизости, нанося geo{Гео урон} по площади, равный %{text_percent_dmg} урона куклы-автоматона name{Тамото}. Этот урон считается уроном name{элементального навыка}.<br>Выполнив 1 атаку или просуществовав 3 сек., простая кукла-автоматон name{Кину} покидает поле боя.;"For 10s after using skill{burst:Hiyoku: Twin Blades}, a simplified automaton doll, ""name{Kinu},"" will be summoned next to your active character every 3s. name{Kinu} will attack nearby opponents, dealing AoE geo{Geo DMG} equivalent to %{text_percent_dmg} of name{Tamoto}'s DMG. DMG dealt this way is considered name{Elemental Skill DMG}.<br>name{Kinu} will leave the field after 1 attack or after lasting 3s."
talent_name;chiori_four_brocade_embellishments;Четыре украшения парчи;Four Brocade Embellishments
talent_name;chiori_a_tailors_three_courtesies;Три любезности портного;A Tailor's Three Courtesies
talent_descr;chiori_a_tailors_three_courtesies;В течение 8 сек. после активации последующего эффекта таланта возвышения name{Сшито на заказ} попадание name{обычных атак}, name{заряженных атак} и name{атак в падении} вашего активного персонажа по противнику поблизости призывают рядом с ним простую куклу-автоматона name{Кину}. Таким способом можно призвать 1 простую куклу-автоматона name{Кину} раз в 1 сек., но не более 3 раз в течение одного и того же эффекта name{Поймав мгновение} или name{Покрой} таланта возвышения name{Сшито на заказ}. Этот эффект может возникнуть раз в 15 сек.<br>Требуется разблокировать талант возвышения name{Сшито на заказ}.;"For 8s after triggering either follow-up effect of the Ascension Talent ""name{Tailor-Made},"" when your current active character's name{Normal}, name{Charged}, or name{Plunging Attacks} hit a nearby opponent, a simplified automaton doll, ""name{Kinu},"" will be summoned near this opponent. You can summon 1 name{Kinu} every 1s in this way, and up to 3 name{Kinu} may be summoned this way during each instance of ""name{Tailor-Made}""'s name{Seize the Moment} or name{Tailoring} effect. The above effect can be triggered up to once every 15s.<br>You must first unlock the Ascension Talent ""name{Tailor-Made}."""
