category;name;rus;eng
char_name;tighnari;Тигнари;Tighnari
talent_name;tighnari_fashioners_tanglevine_shaft;Стрела-лиана жизни;Fashioner's Tanglevine Shaft
talent_descr;tighnari_fashioners_tanglevine_shaft;<p>Собрав силу всех семян, выпускает 6 стрел-лиан. Стрелы-лианы самостоятельно находят цель и наносят dendro{Дендро урон}.<br>При попадании они создают дополнительные стрелы-лианы, которые также самостоятельно находят цель и при попадании наносят dendro{Дендро урон}.</p><p><i>«Даже не думай, что избавиться от них так легко. Лианы вырастут вновь. Не избавишься от них всех - и у тебя будут огромные неприятности».</i></p>;"<p>Combines the power of all seeds to fire 6 Tanglevine Shafts that can track opponents and deal dendro{Dendro DMG}.<br>After they hit, the Tanglevine Shafts will create a secondary wave of Tanglevine Shafts that can also track nearby opponents and deal dendro{Dendro DMG} on hit.</p><p><i>""Do not seek to escape so easily. The vines grow and regrow ever on. Things might get dicey if you don't clear every last one of them out.""</i></p>"
talent_name;tighnari_khanda_barrier_buster;Крушащая преграды кханда;Khanda Barrier-Buster
talent_descr;tighnari_khanda_barrier_buster;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается силой Дендро. Эффект зависит от длительности заряда стрелы:<br>· Уровень заряда 1: Выпускает стрелу, наполненную силой растений, которая наносит dendro{Дендро урон}.<br>· Уровень заряда 2: Выпускает стрелу-венец, наносящую dendro{Дендро урон}. При попадании стрела-венец создаёт 4 стрелы соцветия. Стрелы соцветия самостоятельно находят цель поблизости и наносят dendro{Дендро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, the power of Dendro will accumulate on the arrowhead before the arrow is fired. Has different effects based on how long the energy has been charged:<br>·Charge Level 1: Fires off an arrow carrying the power of flora that deals dendro{Dendro DMG}.<br>·Charge Level 2: Fires off a Wreath Arrow that deals dendro{Dendro DMG}. Upon hit, the Wreath Arrow will create 4 Clusterbloom Arrows that will track nearby opponents automatically and deal dendro{Dendro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;tighnari_vijnana_phala_mine;Мина виджняны-пхалы;Vijnana-Phala Mine
talent_descr;tighnari_vijnana_phala_mine;<p>Тигнари бросает вперёд Сердце бури виджняны, которое наносит dendro{Дендро урон по площади} и создаёт Поле виджняны-кханды. Поле порождает иллюзию, которая непрерывно привлекает атаки врагов на себя.<br>Вдобавок Тигнари получает эффект Прорыва виджняны, сокращающий время заряда стрелы-венца на 2,4 сек. Эффект рассеивается, когда закончится его длительность или Тигнари выпустит 3 стрелы-венца.</p><p><i>«Если семечко увядает и гибнет вдали от почвы, оно умирает в одиночестве. Но если оно вернётся в почву, то даст жизнь миллионам семян».</i></p>;"<p>Tighnari throws a Vijnana Stormheart ahead that deals dendro{AoE Dendro DMG}, creating a Vijnana-Khanda Field that creates mysterious illusions that taunt opponents and draw their fire.<br>Additionally, Tighnari gains the Vijnana Suffusion effect, which will decrease the Wreath Arrow's charging time by 2.4s. This effect will dissipate once the skill duration ends or after Tighnari has fired 3 Wreath Arrows.</p><p><i>""If seeds wither apart from the soil, they will remain a single seed. But if returned to the soil, they shall multiply ten-million fold.""</i></p>"
talent_name;tighnari_keen_sight;Острый глаз;Keen Sight
talent_descr;tighnari_keen_sight;Выпущенная name{Тигнари} skill{attack:стрела-венец} увеличивает его name{мастерство стихий} на %{mastery} ед. на 4 сек.;After name{Tighnari} fires a skill{attack:Wreath Arrow}, his name{Elemental Mastery} is increased by %{mastery} for 4s.
talent_name;tighnari_scholarly_blade;Учёный клинок;Scholarly Blade
talent_descr;tighnari_scholarly_blade;Каждая единица name{мастерства стихий} name{Тигнари} увеличивает урон его name{заряженной атаки} и skill{Стрелы-лианы жизни} на value{0,06%}.<br>Бонус урона, полученный таким образом, не может превышать value{60%}.;For every point of name{Elemental Mastery} name{Tighnari} possesses, his name{Charged Attack} and skill{burst:Fashioner's Tanglevine Shaft} DMG are increased by value{0.06%}.<br>The maximum name{DMG Bonus} obtainable this way is value{60%}.
talent_name;tighnari_beginnings_determined_at_the_roots;Побеги определяются корнями;Beginnings Determined at the Roots
talent_descr;tighnari_beginnings_determined_at_the_roots;Увеличивает name{шанс крит. попадания} name{заряженной атакой} name{Тигнари} на %{crit_rate_charged}.;name{Tighnari}'s name{Charged Attack} name{CRIT Rate} is increased by %{crit_rate_charged}.
talent_name;tighnari_origins_known_from_the_stem;Истоки узнаются по стеблю;Origins Known From the Stem
talent_descr;tighnari_origins_known_from_the_stem;Когда в поле name{виджняны-кханды}, созданном skill{skill:Миной виджняны-пхалы}, находятся враги, name{Тигнари} получает %{dmg_dendro} бонус dendro{Дендро урона}.<br>Если время действия поля истечёт или в нём не останется врагов, эффект продлится ещё 6 сек.;When there are opponents within the name{Vijnana-Khanda Field} created by skill{skill:Vijnana-Phala Mine}, name{Tighnari} gains %{dmg_dendro} dendro{Dendro DMG Bonus}.<br>The effect will last up to 6s if the field's duration ends or if it no longer has opponents within it.
talent_name;tighnari_fortunes_read_amongst_the_branches;По ветвям постигается сотворение;Fortunes Read Amongst the Branches
talent_name;tighnari_withering_glimpsed_in_the_leaves;В листьях является расцвет и увядание;Withering Glimpsed in the Leaves
talent_descr;tighnari_withering_glimpsed_in_the_leaves_1;Активация навыка skill{burst:Стрела-лиана жизни} увеличивает name{мастерство стихий} всех членов отряда поблизости на %{mastery} ед. на 8 сек.;When skill{burst:Fashioner's Tanglevine Shaft} is unleashed, all nearby party members gain %{mastery} name{Elemental Mastery} for 8s.
talent_descr;tighnari_withering_glimpsed_in_the_leaves_2;Если Стрела-лиана жизни вызывает pyro{Горение}, dendro{Бутонизацию}, dendro{Лунную бутонизацию}, dendro{Стимуляцию} или dendro{Разрастание}, name{мастерство стихий} дополнительно увеличивается на %{mastery} ед., а длительность данного эффекта обновляется.;If the name{Fashioner's Tanglevine Shaft} triggers a pyro{Burning}, dendro{Bloom}, dendro{Lunar-Bloom}, dendro{Quicken}, or dendro{Spread} reaction, their name{Elemental Mastery} will be further increased by %{mastery}. This latter case will also refresh the buff state's duration.
talent_name;tighnari_comprehension_amidst_the_flowers;Во цветении осмысливается истина;Comprehension Amidst the Flowers
talent_name;tighnari_karma_adjudged_from_the_leaden_fruit;Плодом налитым определяется карма;Karma Adjudged From the Leaden Fruit
talent_descr;tighnari_karma_adjudged_from_the_leaden_fruit;Сокращает время заряда skill{attack:стрелы-венца} на 0,9 сек. и при попадании создаёт 1 дополнительную name{стрелу соцветия}. Эта стрела наносит %{text_percent_dmg} от name{силы атаки} name{Тигнари}.;skill{attack:Wreath Arrow}'s charging time is decreased by 0.9s, and will produce 1 additional name{Clusterbloom Arrow} upon hit. This arrow deals %{text_percent_dmg} of name{Tighnari}'s name{ATK} as DMG.
